Name,Year,Please,Type,Mass,Location,Notes
Distrito Quebracho**,1957,"Entre Rios, Argentina",H4,400 g,"(-31.883330, -60.466670)ææ",
Djati-Pengilon,1884,"Jawa Timur, Indonesia",H6,166 kg,"(-7.500000, 111.500000)ææ",
Djermaiaæ**,1961,"Chari-Baguirmi, Chad",H,3.95 kg,"(12.733330, 15.050000)ææ",
Djoumineæ**,1999,"Banzart, Tunisia",H5-6,10 kg,"(36.950000, 9.550000)ææ",
Dokachi,1903,"Dhaka, Bangladesh",H5,3.84 kg,"(23.500000, 90.333330)ææ",
Dolgovoli,1864,"Volyn, Ukraine",L6,1600 g,"(50.750000, 25.300000)ææ",
Domanitch,1907,"Bursa, Turkey",L5,438 g,"(40.000000, 29.000000)ææ",
Dong Ujimqin Qi**,1995,"Nei Mongol, China",Mesosiderite,128.8 kg,"(45.500000, 119.033330)ææ",
Donga Kohrod,1899,"Madhya Pradesh, India",H6,230 g,"(21.866670, 82.450000)ææ",
Dongtai,1970,"Jiangsu, China",LL6,5.5 kg,"(32.916670, 120.783330)ææ",
Dongyangæ**,2002,"Zhejiang, China",H5,230 g,"(29.275300, 120.236300)ææ",
Dordrecht (iron),1650,"Zuid-Holland, Netherlands",Doubtful meteorite,,"(51.800000, 4.650000)ææ",
Dordrecht (stone),1808,"Zuid-Holland, Netherlands",Doubtful meteorite,,"(51.800000, 4.650000)ææ",
Doroninsk,1805,"Chitinskaya oblast', Russia",H5-7,3.89 kg,"(51.200000, 112.300000)ææ",
Dorpat,1704,Estonia,Doubtful meteorite,,"(58.400000, 26.600000)ææ",
Dossoæ**,1962,"Dosso, Niger",L6,1250 g,"(13.050000, 3.166670)ææ",
Douar Mghila,1932,"Tadla-Azilal, Morocco",LL6,1161 g,"(32.333330, -6.300000)ææ",
Dowa,1976,"Central, Malawi",Stone-uncl,642 g,"(-13.666670, 33.916670)ææ",
Drake Creek,1827,"Tennessee, USA",L6,5 kg,"(36.400000, -86.500000)ææ",
Draveilæ**,2011,"Ile-del-France, France",H5,7.5 kg,"(48.686670, 2.428330)ææ",
Dresden (Ontario),1939,"Ontario, Canada",H6,47.7 kg,"(42.520000, -82.260000)ææ",
Dubrovnikæ**,1951,Croatia,L3-6,1900 g,"(42.458330, 18.441670)ææ",
Dunboganæ**,1999,"New South Wales, Australia",L6,30 g,"(-31.666670, 152.833330)ææ",
Dundrum,1865,"Munster, Ireland",H5,2.27 kg,"(52.550000, -8.033330)ææ",
Dunhua,1976,"Jilin, China",Stone-uncl,,"(43.333330, 128.250000)ææ",
Durala,1815,"Punjab, India",L6,13.2 kg,"(30.300000, 76.633330)ææ",
Duruma,1853,"Coast, Kenya",L6,577 g,"(-4.000000, 39.500000)ææ",
Duwunæ**,1943,South Korea,L6,2.12 kg,"(33.433330, 127.266670)ææ",
Dwaleniæ**,1970,"Shiselweni, Swaziland",H4-6,3.23 kg,"(-27.200000, 31.316670)ææ",
Dyalpur,1872,"Uttar Pradesh, India",Ureilite,300 g,"(26.250000, 82.000000)ææ",
Dyarrl Island,1933,"New Ireland, Papua New Guinea",Mesosiderite-A1,188 g,"(-3.000000, 151.000000)ææ",
Eagleæ**,1947 or 1946,"Nebraska, USA",EL6,10 kg,"(40.781670, -96.471670)ææ",
East Norton,1803,"England, UK",Doubtful meteorite,,"(52.550000, -0.833330)ææ",
Eaton,1931,"Colorado, USA",Pseudometeorite,29.5 g,"(40.516670, -104.683330)ææ",
Eholeæ**,1961,"Cunene, Angola",H5,2.4 kg,"(-17.300000, 15.833330)ææ",
Eichst_dt,1785,"Bayern, Germany",H5,3 kg,"(48.900000, 11.216670)ææ",
Ekeby,1939,"Malmohus, Sweden",H4,3.34 kg,"(56.033330, 13.000000)ææ",
Ekh Khera,1916,"Uttar Pradesh, India",H6,840 g,"(28.266670, 78.783330)ææ",
El Idrissiaæ**,1989,"Djelfa, Algeria",L6,10 kg,"(34.416670, 3.250000)ææ",
El Marplatense,,"Buenos Aires, Argentina",Pseudometeorite,,"(-37.983330, -57.633330)ææ",
El Paso de Aguila**,1977,"Tamaulipas, Mexico",H5,17.23 kg,"(25.370000, -97.370000)ææ",
El Tigreæ**,1993,"Michoacan, Mexico",L6,5 kg,"(19.967220, -103.051670)ææ",
Elbertæ**,1998,"Colorado, USA",LL6,681 g,"(39.246670, -104.588170)ææ",
Elbogen,1400,"Karlovarsk_, Czech Republic","Iron, IID",107 kg,"(50.183330, 12.733330)ææ",
Elenovkaæ**,1951,"Donetsk, Ukraine",L5,54.64 kg,"(47.833330, 37.666670)ææ",
Ellemeet,1925,"Zeeland, Netherlands",Diogenite,1470 g,"(51.750000, 4.000000)ææ",
Emmaville,1900,"New South Wales, Australia",Eucrite-mmict,127 g,"(-29.466670, 151.616670)ææ",
Enshi,1974,"Hubei, China",H5,8 kg,"(30.300000, 109.500000)ææ",
Ensisheim,1492,"Alsace, France",LL6,127 kg,"(47.866670, 7.350000)ææ",
Äpinal,1822,"Lorraine, France",H5,277 g,"(48.183330, 6.466670)ææ",
Erakot,1940,"Madhya Pradesh, India",CM2,113 g,"(19.033330, 81.891670)ææ",
Erevanæ**,1911,Armenia,Howardite,107.2 g,"(40.300000, 44.500000)ææ",
Ergheo,1889,"Shabeellaha Hoose, Somalia",L5,20 kg,"(1.166670, 44.166670)ææ",
Ermendorf,1677,"Sachsen, Germany",Doubtful stone,,"(51.300000, 13.550000)ææ",
Erxleben,1812,"Sachsen-Anhalt, Germany",H6,2.25 kg,"(52.216670, 11.250000)ææ",
Esnandes,1837,"Poitou-Charentes, France",L6,1500 g,"(46.250000, -1.100000)ææ",
Essebiæ**,1957,"Haut-Zaire, Congo - Dem. Rep.",C2-ung,500 g,"(2.883330, 30.833330)ææ",
Estherville,1879,"Iowa, USA",Mesosiderite-A3/4,320 kg,"(43.416670, -94.833330)ææ",
Fabriano,1776,"Marche, Italy",Doubtful stone,,"(43.316670, 12.933330)ææ",
Farmington,1890,"Kansas, USA",L5,89.4 kg,"(39.750000, -97.033330)ææ",
Farmville,1934,"North Carolina, USA",H4,56 kg,"(35.550000, -77.533330)ææ",
Favars,1844,"Midi-Pyrenees, France",H5,1500 g,"(44.383330, 2.816670)ææ",
Fayetteville,1934,"Arkansas, USA",H4,2.36 kg,"(36.050000, -94.166670)ææ",
Feid Chair,1875,"El Tarf, Algeria",H4,380 g,"(36.883330, 8.450000)ææ",
Felix,1900,"Alabama, USA",CO3.3,3.2 kg,"(32.533330, -87.166670)ææ",
Fenghsien-Ku,1924,"Jiangsu, China",H5,82 g,"(34.600000, 116.750000)ææ",
Ferguson,1889,"North Carolina, USA",OC,220 g,"(36.100000, -81.416670)ææ",
Fermoæ**,1996,"Marche, Italy",H3-5,10.2 kg,"(43.181110, 13.753330)ææ",
Ferrette,1947,"Alsace, France",Doubtful stone,4.3 kg,"(47.500000, 7.316670)ææ",
Fisher,1894,"Minnesota, USA",L6,17.6 kg,"(47.816670, -96.850000)ææ",
Florence,1922,"Texas, USA",H3,3.64 kg,"(30.833330, -97.766670)ææ",
Forest City,1890,"Iowa, USA",H5,152 kg,"(43.250000, -93.666670)ææ",
Forest Vale,1942,"New South Wales, Australia",H4,26 kg,"(-33.350000, 146.858330)ææ",
Forksville,1924,"Virginia, USA",L6,6.07 kg,"(36.783330, -78.083330)ææ",
Forsbach,1900,"Nordrhein-Westfalen, Germany",H6,240 g,"(50.950000, 7.316670)ææ",
Forsyth,1829,"Georgia, USA",L6,16.3 kg,"(33.016670, -83.966670)ææ",
Fort Flatters,1944,"Illizi, Algeria",Stone-uncl,,"(28.250000, 7.000000)ææ",
Frankfort (stone),1868,"Alabama, USA",Howardite,650 g,"(34.483330, -87.833330)ææ",
Friedland,1304,Germany,Doubtful meteorite,,,
Fuheæ**,1945,"Hubei, China",L5,23 kg,"(31.475560, 113.566940)ææ",
Fukutomi,1882,"Kyushu, Japan",L5,11.62 kg,"(33.183330, 130.200000)ææ",
FÙnen,1654,"Region Syddanmark, Denmark",Stone-uncl,,"(55.333330, 10.333330)ææ",
Futtehpur,1822,"Uttar Pradesh, India",L6,4 kg,"(25.950000, 80.816670)ææ",
Fuyang,1977,"Anhui, China",Stone-uncl,2.5 kg,"(32.900000, 115.900000)ææ",
Gaj,1927,"Ostroleka, Poland",Doubtful meteorite,,"(52.526390, 21.429170)ææ",
Galapian,1826,"Aquitaine, France",H6,132.7 g,"(44.300000, 0.400000)ææ",
Galim (a)æ**,1952,"Adamoua, Cameroon",LL6,36.1 g,"(7.050000, 12.433330)ææ",
Galim (b),1952,"Adamoua, Cameroon",EH3/4-an,28 g,"(7.050000, 12.433330)ææ",
Galkivæ**,1995,"Chernigov, Ukraine",H4,5 kg,"(51.683330, 30.783330)ææ",
Gambat,1897,"Sind, Pakistan",L6,6.4 kg,"(27.350000, 68.533330)ææ",
Gao (Mali),1932,"Gao, Mali",Doubtful meteorite,,"(16.300000, 0.000000)ææ",
Gao-Guenieæ**,1960,"Sissili, Burkina Faso",H5,,"(11.650000, -2.183330)ææ",
Garhi Yasin,1917,"Sind, Pakistan","Iron, IIE",380 g,"(27.883330, 68.533330)ææ",
Garland,1950,"Utah, USA",Diogenite-pm,102 g,"(41.683330, -112.133330)ææ",
Gashuaæ**,1984,"Yobe, Nigeria",L6,4.16 kg,"(12.850000, 11.033330)ææ",
Gasseltepaoua**,2000,"Soum, Burkina Faso",H5,,"(14.150830, -2.041670)ææ",
Gdynia,1959,"Gdansk, Poland",Doubtful meteorite,,"(54.583330, 18.666670)ææ",
Geidamæ**,1950,"Yobe, Nigeria",H5,725 g,"(12.916670, 11.916670)ææ",
Gifu,1909,"Chubu, Japan",L6,14.29 kg,"(35.533330, 136.883330)ææ",
Girgenti,1853,"Sicilia, Italy",L6,18 kg,"(37.316670, 13.566670)ææ",
Git-Git,1947,"Plateau, Nigeria",L6,480 g,"(9.600000, 9.916670)ææ",
Glanerbrugæ**,1990,"Overijssel, Netherlands",L/LL5,670 g,"(52.200000, 6.866670)ææ",
Glanggangæ**,1939,"Jawa Barat, Indonesia",H5-6,1303 g,"(-7.250000, 107.700000)ææ",
Glarus,1674,"Glarus, Switzerland",Doubtful meteorite,,"(47.050000, 9.066670)ææ",
Glasatovo,1918,"Tverskaya oblast', Russia",H4,152 kg,"(57.350000, 37.616670)ææ",
Glastonbury,1806,"England, UK",Doubtful meteorite,1100 g,"(51.133330, -2.716670)ææ",
Glattonæ**,1991,"England, UK",L6,767 g,"(52.459720, -0.300000)ææ",
Gnadenfrei,1879,"Walbrzych, Poland",H5,1750 g,"(50.666670, 16.766670)ææ",
Gopalpur,1865,"Rajshahi, Bangladesh",H6,1600 g,"(24.233330, 89.050000)ææ",
Gorlovkaæ**,1974,"Donetsk, Ukraine",H3.7,3.62 kg,"(48.283330, 38.083330)ææ",
Granes,1964,"Languedoc-Roussillon, France",L6,9 kg,"(42.900000, 2.250000)ææ",
Grazac,1885,"Auvergne, France",Pseudometeorite,,"(45.183330, 4.283330)ææ",
Grefsheimæ**,1976,"Oppland, Norway",L5,45.5 g,"(60.666670, 11.000000)ææ",
Grimsbyæ**,2009,"Ontario, Canada",H5,215 g,"(43.200000, -79.616670)ææ",
Grosnaja,1861,"Chechenskaya Respublika, Russia",CV3,3.5 kg,"(43.666670, 45.383330)ææ",
Gross-Divina,1837,"Stredoslovensky, Slovakia",H5,10.5 kg,"(49.266670, 18.716670)ææ",
Grossliebenthal,1881,"Odessa, Ukraine",L6,8 kg,"(46.350000, 30.583330)ææ",
GrÙneberg,1841,"Zielona Gora, Poland",H4,1000 g,"(51.933330, 15.500000)ææ",
Grzempach,1910,"Pila, Poland",H5,690 g,"(52.866670, 16.633330)ææ",
GualeguaychÏ,1932,"Entre Rios, Argentina",H6,22 kg,"(-33.000000, -58.616670)ææ",
Guangmingshan**,1996,"Liaoning, China",H5,2.91 kg,"(39.804170, 122.763890)ææ",
Guangnanæ**,1983,"Yunnan, China",L6,,"(24.100000, 105.000000)ææ",
Guangraoæ**,1980,"Shandong, China",L6,1900 g,"(37.100000, 118.400000)ææ",
GuareĞa,1892,"Extremadura, Spain",H6,39 kg,"(38.733330, -6.016670)ææ",
Gua,1891,"Serbia, Serbia and Montenegro",Stone-uncl,1915 g,"(43.766670, 20.233330)ææ",
Guibgaæ**,1972,"Namentenga, Burkina Faso",L5,288 g,"(13.500000, -0.683330)ææ",
Guidderæ**,1949,"Nord, Cameroon",LL5,968 g,"(9.916670, 13.983330)ææ",
Gujargaonæ**,1982,"Madhya Pradesh, India",H5,2.45 kg,"(22.983330, 76.050000)ææ",
Gujbaæ**,1984,"Yobe, Nigeria",CBa,100 kg,"(11.491670, 11.658330)ææ",
Gumoschnik,1904,"Lovech, Bulgaria",H5,5.7 kg,"(42.900000, 24.700000)ææ",
Gurram Konda,1814,"Andhra Pradesh, India",L6,28 g,"(13.783330, 78.566670)ææ",
Gursumæ**,1981,"Harerge, Ethiopia",H4/5,34.65 kg,"(9.366670, 42.416670)ææ",
GÙtersloh,1851,"Nordrhein-Westfalen, Germany",H3/4,1000 g,"(51.916670, 8.383330)ææ",
Gyokukeiæ**,1930,"Cholla-namdo, South Korea",OC,1320 g,"(35.000000, 127.500000)ææ",
Hachi-oji,1817,"Kanto, Japan",H?,0.2 g,"(35.650000, 139.333330)ææ",
Hainaut,1934,"Nord-Pas-de-Calais, France or Belgium",H3-6,9 kg,"(50.316670, 3.733330)ææ",
Hallingeberg,1944,"Kalmar, Sweden",L3.4,1456 g,"(57.816670, 16.233330)ææ",
Halstead,1731,UK,Pseudometeorite,,,
Hamletæ**,1959,"Indiana, USA",LL4,3.71 kg,"(41.383330, -86.600000)ææ",
Haraiya,1878,"Uttar Pradesh, India",Eucrite-mmict,1000 g,"(26.800000, 82.533330)ææ",
Haripura,1921,"Rajasthan, India",CM2,315 g,"(28.383330, 75.783330)ææ",
Harletonæ**,1961,"Texas, USA",L6,8.36 kg,"(32.675000, -94.511670)ææ",
Harrison County,1859,"Indiana, USA",L6,680 g,"(38.250000, -86.166670)ææ",
Hashimaæ**,1910,"Chubu, Japan",H4,1111 g,"(35.294500, 136.700330)ææ",
Hassi-Jekna,1890,"Adrar, Algeria","Iron, IAB-sHL",1250 g,"(28.950000, 0.816670)ææ",
Hatford,1628,"England, UK",Stone-uncl,29 kg,"(51.650000, -1.516670)ææ",
Haver_æ**,1971,"Turku Ja Pori, Finland",Ureilite,1544 g,"(60.245560, 22.061940)ææ",
Hedeskoga,1922,"Malmohus, Sweden",H5,3.5 kg,"(55.466670, 13.783330)ææ",
Hedjaz,1910,"Tabuk, Saudi Arabia",L3.7-6,6.1 kg,"(27.333330, 35.666670)ææ",
Heredia,1857,"Heredia, Costa Rica",H5,1000 g,"(10.000000, -84.100000)ææ",
Hessle,1869,"Uppsala, Sweden",H5,20 kg,"(59.850000, 17.666670)ææ",
Heyetangæ**,1998,"Hunan, China",L3,2.5 kg,"(27.246870, 111.321870)ææ",
Higashi-koen,1897,"Kyushu, Japan",H5,750 g,"(33.600000, 130.433330)ææ",
High Possil,1804,"Scotland, UK",L6,4.5 kg,"(55.900000, -4.233330)ææ",
Hiroshimaæ**,2003,"Chugoku, Japan",H5,414 g,"(34.450000, 132.383330)ææ",
Hoimaæ**,2003,"Western, Uganda",H6,167.7 g,"(1.345000, 31.472780)ææ",
H_kmarkæ**,1954,"Vasterbottens, Sweden",L4,306 g,"(64.433330, 21.200000)ææ",
Holbrook,1912,"Arizona, USA",L/LL6,220 kg,"(34.900000, -110.183330)ææ",
Holetta,1923,"Shewa, Ethiopia",Stone-uncl,1415 g,"(9.066670, 38.416670)ææ",
Homestead,1875,"Iowa, USA",L5,230 kg,"(41.800000, -91.866670)ææ",
Honolulu,1825,"Hawaii, USA",L5,2.42 kg,"(21.300000, -157.866670)ææ",
Hotse,1956,"Shandong, China",L6,180 g,"(35.666670, 115.500000)ææ",
Hoxieæ**,1963,"Kansas, USA",OC,266 g,"(39.350000, -100.450000)ææ",
Hraschina,1751,Croatia,"Iron, IID",49 kg,"(46.100000, 16.333330)ææ",
Huaxiæ**,2010,"Guizhou, China",H5,1600 g,"(26.464690, 106.632410)ææ",
Hungen,1877,"Hessen, Germany",H6,112 g,"(50.300000, 8.916670)ææ",
Hvittis,1901,"Turku Ja Pori, Finland",EL6,14 kg,"(61.183330, 22.683330)ææ",
Hyderabad (1898),1898,"Andhra Pradesh, India",Doubtful stone,,"(17.366670, 78.466670)ææ",
Hyderabad (1936),1936,"Andhra Pradesh, India",Doubtful stone,,"(17.366670, 78.466670)ææ",
IbbenbÙren,1870,"Nordrhein-Westfalen, Germany",Diogenite,2 kg,"(52.283330, 7.700000)ææ",
Ibitiraæ**,1957,"Minas Gerais, Brazil",Eucrite-mmict,2.5 kg,"(-20.000000, -45.000000)ææ",
Ibrisim,1949,"Nigde, Turkey",OC,,"(38.000000, 35.000000)ææ",
Ichkala,1936,"Tomskaya oblast', Russia",H6,3.97 kg,"(58.200000, 82.933330)ææ",
Idutywaæ**,1956,"Eastern Cape, South Africa",H5,3.46 kg,"(-32.100000, 28.333330)ææ",
Igast,1855,Latvia,Pseudometeorite,35 g,"(57.833330, 26.266670)ææ",
Iguaracuæ**,1977,"Parana, Brazil",H5,1200 g,"(-23.200000, -51.833330)ææ",
Ijopega,1975,"Eastern Highlands, Papua New Guinea",H6,7.33 kg,"(-6.033330, 145.366670)ææ",
Indarch,1891,"Baku, Azerbaijan",EH4,27 kg,"(39.750000, 46.666670)ææ",
Independence**,1917,"Missouri, USA",L6,880 g,"(39.083330, -94.400000)ææ",
Indian Butteæ**,1998,"Arizona, USA",H5,1721 g,"(32.864330, -112.048670)ææ",
Inner Mongolia,1963 or 1962,"Nei Mongol, China",L6,3 kg,"(41.000000, 112.000000)ææ",
Innisfreeæ**,1977,"Alberta, Canada",L5,4.58 kg,"(53.415000, -111.337500)ææ",
Iowa City,1861,"Iowa, USA",Doubtful stone,,"(41.650000, -91.516670)ææ",
Ipacaray,1877,"Cordillera, Paraguay",Doubtful stone,,"(-25.300000, -57.266670)ææ",
Ipirangaæ**,1972,"Parana, Brazil",H6,7 kg,"(-25.500000, -54.500000)ææ",
Ishingaæ**,1954,"Mbeya, Tanzania",H,1300 g,"(-8.933330, 33.800000)ææ",
Isthilart,1928,"Entre Rios, Argentina",H5,3.05 kg,"(-31.183330, -57.950000)ææ",
Italy (956),956,Italy,Doubtful meteorite,,,
Italy (963),963,Italy,Doubtful meteorite,,,
Itapicuru-Mirim,1879,"Maranhao, Brazil",H5,2.02 kg,"(-3.400000, -44.333330)ææ",
Itqiyæ**,1990,"Saguia el Hamra, Western Sahara",EH7-an,4.72 kg,"(26.590830, -12.952170)ææ",
Ivuna,1938,"Mbeya, Tanzania",CI1,705 g,"(-8.416670, 32.433330)ææ",
Jackalsfontein,1903,"Western Cape, South Africa",L6,48 kg,"(-32.500000, 21.900000)ææ",
Jajh deh Kot Lalu,1926,"Sind, Pakistan",EL6,973 g,"(26.750000, 68.416670)ææ",
Jalanashæ**,1990,Mongolia,Ureilite,700 g,,
Jalandhar,1621,"Punjab, India",Iron,1967 g,"(31.000000, 75.000000)ææ",
Jamkheir,1866,"Maharashtra, India",H6,22 g,"(18.750000, 75.333330)ææ",
Jartai,1979,"Nei Mongol, China",L6,20.5 kg,"(39.700000, 105.800000)ææ",
Jelica,1889,"Serbia, Serbia and Montenegro",LL6,34 kg,"(43.833330, 20.441670)ææ",
Jemlapur,1901,India,L6,450 g,,
Jeseniceæ**,2009,Slovenia,L6,3.67 kg,"(46.421370, 14.052170)ææ",
Jhung,1873,"Punjab, Pakistan",L5,5.9 kg,"(31.300000, 72.383330)ææ",
Jiange,1964,"Sichuan, China",H5,222 g,"(31.916670, 104.916670)ææ",
Jianshi,1890,"Sichuan, China","Iron, IIIAB",600 kg,"(30.808330, 109.500000)ææ",
Jilinæ**,1976,"Jilin, China",H5,4 t,"(44.050000, 126.166670)ææ",
Jinjuæ**,2014,"Gyeongsangnam-do, South Korea",H5,34 kg,"(35.280000, 128.123330)ææ",
Jodiyaæ**,2006,"Gujarat, India",L5,100 g,"(22.680000, 70.313330)ææ",
Jodzie,1877,Lithuania,Howardite,30 g,"(55.700000, 24.400000)ææ",
Johnstown,1924,"Colorado, USA",Diogenite,40.3 kg,"(40.350000, -104.900000)ææ",
Jolombaæ**,1974,"Huambo, Angola",LL6,483 g,"(-11.850000, 15.833330)ææ",
Jonzac,1819,"Poitou-Charentes, France",Eucrite-mmict,5 kg,"(45.433330, -0.450000)ææ",
Juanchengæ**,1997,"Shandong, China",H5,100 kg,"(35.500000, 115.416670)ææ",
Jubila del Agua,1908,Spain,Doubtful stone,,,
Judesegeri,1876,"Karnataka, India",H6,680 g,"(12.850000, 76.800000)ææ",
Jumapaloæ**,1984,"Jawa Timur, Indonesia",L6,32.49 kg,"(-7.716670, 111.200000)ææ",
Junan,1976,"Shandong, China",L6,950 g,"(35.200000, 118.800000)ææ",
Juromenhaæ**,1968,"Evora, Portugal","Iron, IIIAB",25.25 kg,"(38.740280, -7.270000)ææ",
Juvinas,1821,"Rhone-Alpes, France",Eucrite-mmict,91 kg,"(44.716670, 4.300000)ææ",
Juzjanan,1009,"Herat, Afghanistan",Doubtful Iron,,"(34.366670, 62.133330)ææ",
Kaba,1857,"Hajdu-Bihar, Hungary",CV3,3 kg,"(47.350000, 21.300000)ææ",
Kaboæ**,1971,"Kano, Nigeria",H4,13.4 kg,"(11.850000, 8.216670)ææ",
Kadonah,1822,"Uttar Pradesh, India",H6,89 g,"(27.083330, 78.333330)ææ",
Kaee,1838,"Uttar Pradesh, India",H5,230 g,"(27.250000, 79.966670)ææ",
Kagarlyk,1908,"Kiev, Ukraine",L6,1900 g,"(49.866670, 30.833330)ææ",
Kaidunæ**,1980,"Hadhramaut, Yemen",CR2,2 kg,"(15.000000, 48.300000)ææ",
Kainsaz,1937,"Respublika Tatarstan, Russia",CO3.2,200 kg,"(55.433330, 53.250000)ææ",
Kakangari,1890,"Tamil Nadu, India",K3,350 g,"(12.383330, 78.516670)ææ",
Kakowa,1858,"Caras-Severin, Romania",L6,577 g,"(45.133330, 21.666670)ææ",
Kalabaæ**,1951,"Shaba, Congo - Dem. Rep.",H4,950 g,"(-6.833330, 29.500000)ææ",
Kalumbi,1879,"Maharashtra, India",L6,4.5 kg,"(17.833330, 73.983330)ææ",
Kamalpur,1942,"Uttar Pradesh, India",L6,2.77 kg,"(26.033330, 81.466670)ææ",
Kamiomiæ**,1913,"Kanto, Japan",H5,448 g,"(36.041670, 139.956670)ææ",
Kamsagar,1902,"Karnataka, India",L6,1293 g,"(14.183330, 75.800000)ææ",
Kandahar (Afghanistan)**,1959,"Quandahar, Afghanistan",L6,299 g,"(31.600000, 65.783330)ææ",
Kandahar (India),1833,India,Doubtful stone,,,
Kangeanæ**,1908,"Jawa Timur, Indonesia",H5,1630 g,"(-7.000000, 115.500000)ææ",
Kangra Valley,1897,"Himachal Pradesh, India",H5,400 g,"(32.083330, 76.300000)ææ",
Kansas City (1876),1876,"Missouri, USA",Doubtful stone,,"(39.100000, -94.633330)ææ",
Kapoeta,1942,South Sudan,Howardite,11.36 kg,"(4.700000, 33.633330)ææ",
Kapradaæ**,2004,"Gujarat, India",L5/6,1600 g,"(20.339160, 73.223290)ææ",
Kaptal-Aryk,1937,"Dzhambul, Kazakhstan",L6,3.5 kg,"(42.450000, 73.366670)ææ",
Karakol,1840,"Semipalatinsk, Kazakhstan",LL6,3 kg,"(47.216670, 81.016670)ææ",
Karatu,1963,"Arusha, Tanzania",LL6,2.22 kg,"(-3.500000, 35.583330)ææ",
Karewar,1949,"Katsina, Nigeria",L6,180 g,"(12.900000, 7.150000)ææ",
Karkh,1905,"Baluchistan, Pakistan",L6,22 kg,"(27.800000, 67.166670)ææ",
Karloowalaæ**,1955,"Punjab, Pakistan",L6,2.95 kg,"(31.583330, 71.600000)ææ",
Karoonda,1930,"South Australia, Australia",CK4,41.73 kg,"(-35.083330, 139.916670)ææ",
Kasamatsu,1938,"Chubu, Japan",H,710 g,"(35.366670, 136.766670)ææ",
Kasauliæ**,2003,"Uttar Pradesh, India",H4,16.82 kg,"(29.583330, 77.583330)ææ",
Katagumæ**,1999,"Bauchi, Nigeria",L6,1500 g,"(11.333330, 10.083330)ææ",
Katolæ**,2012,"Maharashtra, India",L6,13 kg,"(21.263950, 78.591420)ææ",
Kavarpuraæ**,2006,"Rajasthan, India","Iron, IIE-an",6.8 kg,"(25.143330, 75.813330)ææ",
Kayakentæ**,1961,"Eskisehir, Turkey","Iron, IIIAB",85 kg,"(39.263330, 31.780000)ææ",
Kediriæ**,1940,"Jawa Timur, Indonesia",L4,3.3 kg,"(-7.750000, 112.016670)ææ",
Kemeræ**,2008,"Mugla, Turkey",L4,5.76 kg,"(36.541940, 29.418220)ææ",
Kendleton,1939,"Texas, USA",L4,6.94 kg,"(29.450000, -96.000000)ææ",
Kendraparaæ**,2003,"Orissa, India",H4-5,6.67 kg,"(20.462500, 86.702780)ææ",
Kerilis,1874,"Bretagne, France",H5,5 kg,"(48.400000, -3.300000)ææ",
Kernouve,1869,"Bretagne, France",H6,80 kg,"(48.116670, -3.083330)ææ",
Kesen,1850,"Tohoku, Japan",H4,135 kg,"(38.983330, 141.616670)ææ",
Khairpur,1873,"Punjab, Pakistan",EL6,13.6 kg,"(29.533330, 72.300000)ææ",
Khanpur,1932,"Uttar Pradesh, India",LL5,3.7 kg,"(25.550000, 83.116670)ææ",
Kharkov,1787,"Sumy, Ukraine",L6,1500 g,"(50.625000, 35.075000)ææ",
Khenteisky,1952,"Dornod, Mongolia",Pseudometeorite,,"(49.200000, 113.466670)ææ",
Kheragur,1860,"Uttar Pradesh, India",L6,450 g,"(26.950000, 77.883330)ææ",
Kheri Maham,1986,"Haryana, India",L5,68.5 kg,"(28.970830, 76.322780)ææ",
Khetri,1867,"Rajasthan, India",H6,100 g,"(28.016670, 75.816670)ææ",
Khmelevka,1929,"Omskaya oblast', Russia",L5,6.11 kg,"(56.750000, 75.333330)ææ",
Khohar,1910,"Madhya Pradesh, India",L3.6,9.7 kg,"(25.100000, 81.533330)ææ",
Khor Temiki,1932,"Ash Sharqiyah, Sudan",Aubrite,3.2 kg,"(16.000000, 36.000000)ææ",
Kidairatæ**,1983,"Kurdufan, Sudan",H6,100 kg,"(14.000000, 28.000000)ææ",
Kielæ**,1962,"Schleswig-Holstein, Germany",L6,738 g,"(54.400000, 10.150000)ææ",
Kiffaæ**,1970,"Assaba, Mauritania",H5,1500 g,"(16.583330, -11.333330)ææ",
Kijima (1906),1906,"Chubu, Japan",Stone-uncl,331 g,"(36.850000, 138.383330)ææ",
Kikino,1809,"Smolenskaya oblast', Russia",H6,195 g,"(55.000000, 34.000000)ææ",
Kilaboæ**,2002,"Jigawa, Nigeria",LL6,19 kg,"(12.766670, 9.800000)ææ",
Kilbourn,1911,"Wisconsin, USA",H5,772 g,"(43.583330, -89.600000)ææ",
Killeter,1844,"Ulster, Ireland",H6,140 g,"(54.666670, -7.666670)ææ",
Kingaiæ**,1967,"Darfur, Sudan",H6,67.4 g,"(11.633330, 24.683330)ææ",
Kirbyville,1906,"Texas, USA",Eucrite-mmict,97.7 g,"(30.750000, -95.950000)ææ",
Kirklandæ**,1955,"Washington, USA",Pseudometeorite,232 g,"(47.693060, -122.170280)ææ",
Kisvarsàny,1914,"Szabolcs-Szatmar-Bereg, Hungary",L6,1550 g,"(48.166670, 22.308330)ææ",
Kitcheneræ**,1998,"Ontario, Canada",L6,203 g,"(43.383330, -80.383330)ææ",
Klagenfurt,1849,"Karnten, Austria",Doubtful OC,123 g,"(46.633330, 14.300000)ææ",
Klein-Wenden,1843,"Thuringen, Germany",H6,3.25 kg,"(51.600000, 10.800000)ææ",
