Name,Year,Please,Type,Mass,Lat,Long
Baldwyn,1922,"Mississippi, USA",L6,345 g,34.5,-88.66667
Bali,1907,"Nana-Mambere, Central African Republic",CV3,1000 g,5.38333,16.38333
Ban Rong Du,1993,"Phetchabun, Thailand","Iron, ungrouped",16.7 kg,16.66667,101.18333
Bandong,1871,"Jawa Barat, Indonesia",LL6,11.5 kg,-6.91667,107.6
Bansur,1892,"Rajasthan, India",L6,15 kg,27.7,76.33333
Banswal,1913,"Uttar Pradesh, India",L5,14 g,30.4,78.2
Banten,1933,"Jawa Barat, Indonesia",CM2,629 g,-6.33333,106
Barbotan,1790,"Aquitaine, France",H5,6.4 kg,43.95,-0.05
Barcelona iron,1850,"Cataluna, Spain",Doubtful meteorite,,41.36667,2.16667
Barcelona stone,1704,"Cataluna, Spain",OC,,41.36667,2.16667
Barea,1842,"La Rioja, Spain",Mesosiderite-A1,3.2 kg,42.38333,-2.5
Barnaul,1904,"Altayskiy kray, Russia",H5,23.2 g,52.73333,84.08333
Barntrup,1886,"Nordrhein-Westfalen, Germany",LL4,17 g,52,9.1
Baroti,1910,"Himachal Pradesh, India",L6,4.5 kg,31.61667,76.8
Barwell,1965,"England, UK",L5,44 kg,52.56528,-1.33972
Basingstoke,1806,"England, UK",Doubtful meteorite,1100 g,51.26667,-1.08333
Bassikounou,2006,"Hodh ech Chargui, Mauritania",H5,29.56 kg,15.78333,-5.9
Baszk—wka,1994,"Warszawa, Poland",L5,15.5 kg,52.03333,20.93583
Bath,1892,"South Dakota, USA",H4,21 kg,45.41667,-98.31667
Bath Furnace,1902,"Kentucky, USA",L6,86 kg,38.25,-83.75
Battle Mountain,2012,"Nevada, USA",L6,2.9 kg,40.66813,-117.18913
Bawku,1989,"Upper East, Ghana",LL5,1557 g,11.08333,-0.18333
Baxter,1916,"Missouri, USA",L6,611 g,36.75,-93.5
Baydon,,"England, UK",Pseudometeorite,,51.51667,-1.6
Beardsley,1929,"Kansas, USA",H5,16 kg,39.8,-101.2
Beaver Creek,1893,"British Columbia, Canada",H5,14 kg,51.16667,-117.33333
Beddgelert,1949,"Wales, UK",H5,794 g,53.01667,-4.1
Beeston,1780,"England, UK",Doubtful meteorite,,52.93333,-1.21667
Bells,1961,"Texas, USA",C2-ung,375 g,33.6,-96.46667
Belville,1937,"Cordoba, Argentina",OC,,-32.33333,-64.86667
Benares a,1798,"Uttar Pradesh, India",LL4,3.7 kg,25.36667,82.91667
Benguerir,2004,"Marrakech-Tensift-El Haouz, Morocco",LL6,25 kg,32.25,-8.15
Beni M'hira,2001,"Tatawin, Tunisia",L6,19 kg,32.86667,10.8
Benld,1938,"Illinois, USA",H6,1771 g,39.08333,-89.15
Benoni,1943,"Gauteng, South Africa",H6,3.88 kg,-26.16667,28.41667
Bensour,2002,"Guelmim-Es-Semara, Morocco",LL6,45 kg,30,-7
Benton,1949,"New Brunswick, Canada",LL6,2.84 kg,45.95,-67.55
Berduc,2008,"Entre Rios, Argentina",L6,270 g,-31.91,-58.32833
B_r_ba,1924,"Houet, Burkina Faso",Eucrite-mmict,18 kg,11.65,-3.65
Berlanguillas,1811,"Castilla y Leon, Spain",L6,1440 g,41.68333,-3.8
Berthoud,2004,"Colorado, USA",Eucrite-mmict,960 g,40.30583,-105.02325
Bethlehem,1859,"New York, USA",H,13.9 g,42.53333,-73.83333
Beuste,1859,"Aquitaine, France",L5,2 kg,43.21667,-0.23333
Beyrout,1921,"Bayrut, Lebanon",LL3.8,1100 g,33.88333,35.5
Bezerros,1915,"Pernambuco, Brazil",Doubtful Iron,,-8.3,-36.1
Bhagur,1877,"Maharashtra, India",L6,18 g,20.88333,74.83333
Bhawad,2002,"Rajasthan, India",LL6,678 g,26.50833,73.11528
Bheenwal,1865,"Rajasthan, India",Doubtful stone,1470 g,25.15,73.06667
Bherai,1893,"Gujarat, India",L6,100 g,20.83333,71.46667
Bhola,1940,"Barisal, Bangladesh",LL3-6,1047 g,22.68333,90.65
Bholghati,1905,"Orissa, India",Howardite,2.5 kg,22.08333,86.9
Bialystok,1827,"Bialystok, Poland",Eucrite-pmict,4 kg,53.1,23.2
Bielokrynitschie,1887,"Khmel'nitskiy, Ukraine",H4,1900 g,50.13333,27.16667
Bilanga,1999,"Gnagna, Burkina Faso",Diogenite,25 kg,12.45,-0.08333
Binningup,1984,"Western Australia, Australia",H5,488 g,-33.15639,115.67639
Birgi,1332,"Izmir, Turkey",Doubtful Iron,50.8 kg,38.23333,28.1
Birni N'konni,1923,"Tahoua, Niger",H4,560 g,13.76667,5.3
Bishopville,1843,"South Carolina, USA",Aubrite,6 kg,34.16667,-80.28333
Bishunpur,1895,"Uttar Pradesh, India",LL3.15,1039 g,25.38333,82.6
Bjelaja Zerkov,1796,"Kiev, Ukraine",H6,1850 g,49.78333,30.16667
Bjurb_le,1899,"Uusimaa, Finland",L/LL4,330 kg,60.4,25.8
Black Moshannan Park,1941,"Pennsylvania, USA",L5,705 g,40.91667,-78.08333
Blackwell,1906,"Oklahoma, USA",L5,2.38 kg,36.83333,-97.33333
Blanket,1909,"Texas, USA",L6,5.1 kg,31.83333,-98.83333
