Name,Year,Please,Type,Mass,Lat,Long
Fermo,1996,"Marche, Italy",H3-5,10.2 kg,43.18111,13.75333
Ferrette,1947,"Alsace, France",Doubtful stone,4.3 kg,47.5,7.31667
Fisher,1894,"Minnesota, USA",L6,17.6 kg,47.81667,-96.85
Florence,1922,"Texas, USA",H3,3.64 kg,30.83333,-97.76667
Forest City,1890,"Iowa, USA",H5,152 kg,43.25,-93.66667
Forest Vale,1942,"New South Wales, Australia",H4,26 kg,-33.35,146.85833
Forksville,1924,"Virginia, USA",L6,6.07 kg,36.78333,-78.08333
Forsbach,1900,"Nordrhein-Westfalen, Germany",H6,240 g,50.95,7.31667
Forsyth,1829,"Georgia, USA",L6,16.3 kg,33.01667,-83.96667
Fort Flatters,1944,"Illizi, Algeria",Stone-uncl,,28.25,7
Frankfort stone,1868,"Alabama, USA",Howardite,650 g,34.48333,-87.83333
Friedland,1304,Germany,Doubtful meteorite,,,
Fuhe,1945,"Hubei, China",L5,23 kg,31.47556,113.56694
Fukutomi,1882,"Kyushu, Japan",L5,11.62 kg,33.18333,130.2
FŸnen,1654,"Region Syddanmark, Denmark",Stone-uncl,,55.33333,10.33333
Futtehpur,1822,"Uttar Pradesh, India",L6,4 kg,25.95,80.81667
Fuyang,1977,"Anhui, China",Stone-uncl,2.5 kg,32.9,115.9
Gaj,1927,"Ostroleka, Poland",Doubtful meteorite,,52.52639,21.42917
Galapian,1826,"Aquitaine, France",H6,132.7 g,44.3,0.4
Galim a,1952,"Adamoua, Cameroon",LL6,36.1 g,7.05,12.43333
Galim b,1952,"Adamoua, Cameroon",EH3/4-an,28 g,7.05,12.43333
Galkiv,1995,"Chernigov, Ukraine",H4,5 kg,51.68333,30.78333
Gambat,1897,"Sind, Pakistan",L6,6.4 kg,27.35,68.53333
Gao Mali,1932,"Gao, Mali",Doubtful meteorite,,16.3,0
Gao-Guenie,1960,"Sissili, Burkina Faso",H5,,11.65,-2.18333
Garhi Yasin,1917,"Sind, Pakistan","Iron, IIE",380 g,27.88333,68.53333
Garland,1950,"Utah, USA",Diogenite-pm,102 g,41.68333,-112.13333
Gashua,1984,"Yobe, Nigeria",L6,4.16 kg,12.85,11.03333
Gasseltepaoua,2000,"Soum, Burkina Faso",H5,,14.15083,-2.04167
Gdynia,1959,"Gdansk, Poland",Doubtful meteorite,,54.58333,18.66667
Geidam,1950,"Yobe, Nigeria",H5,725 g,12.91667,11.91667
Gifu,1909,"Chubu, Japan",L6,14.29 kg,35.53333,136.88333
Girgenti,1853,"Sicilia, Italy",L6,18 kg,37.31667,13.56667
Git-Git,1947,"Plateau, Nigeria",L6,480 g,9.6,9.91667
Glanerbrug,1990,"Overijssel, Netherlands",L/LL5,670 g,52.2,6.86667
Glanggang,1939,"Jawa Barat, Indonesia",H5-6,1303 g,-7.25,107.7
Glarus,1674,"Glarus, Switzerland",Doubtful meteorite,,47.05,9.06667
Glasatovo,1918,"Tverskaya oblast', Russia",H4,152 kg,57.35,37.61667
Glastonbury,1806,"England, UK",Doubtful meteorite,1100 g,51.13333,-2.71667
Glatton,1991,"England, UK",L6,767 g,52.45972,-0.3
Gnadenfrei,1879,"Walbrzych, Poland",H5,1750 g,50.66667,16.76667
Gopalpur,1865,"Rajshahi, Bangladesh",H6,1600 g,24.23333,89.05
Gorlovka,1974,"Donetsk, Ukraine",H3.7,3.62 kg,48.28333,38.08333
Granes,1964,"Languedoc-Roussillon, France",L6,9 kg,42.9,2.25
Grazac,1885,"Auvergne, France",Pseudometeorite,,45.18333,4.28333
Grefsheim,1976,"Oppland, Norway",L5,45.5 g,60.66667,11
Grimsby,2009,"Ontario, Canada",H5,215 g,43.2,-79.61667
Grosnaja,1861,"Chechenskaya Respublika, Russia",CV3,3.5 kg,43.66667,45.38333
Gross-Divina,1837,"Stredoslovensky, Slovakia",H5,10.5 kg,49.26667,18.71667
Grossliebenthal,1881,"Odessa, Ukraine",L6,8 kg,46.35,30.58333
GrŸneberg,1841,"Zielona Gora, Poland",H4,1000 g,51.93333,15.5
Grzempach,1910,"Pila, Poland",H5,690 g,52.86667,16.63333
Gualeguaychœ,1932,"Entre Rios, Argentina",H6,22 kg,-33,-58.61667
Guangmingshan,1996,"Liaoning, China",H5,2.91 kg,39.80417,122.76389
Guangnan,1983,"Yunnan, China",L6,,24.1,105
Guangrao,1980,"Shandong, China",L6,1900 g,37.1,118.4
Guare–a,1892,"Extremadura, Spain",H6,39 kg,38.73333,-6.01667
Guêa,1891,"Serbia, Serbia and Montenegro",Stone-uncl,1915 g,43.76667,20.23333
Guibga,1972,"Namentenga, Burkina Faso",L5,288 g,13.5,-0.68333
Guidder,1949,"Nord, Cameroon",LL5,968 g,9.91667,13.98333
Gujargaon,1982,"Madhya Pradesh, India",H5,2.45 kg,22.98333,76.05
Gujba,1984,"Yobe, Nigeria",CBa,100 kg,11.49167,11.65833
Gumoschnik,1904,"Lovech, Bulgaria",H5,5.7 kg,42.9,24.7
Gurram Konda,1814,"Andhra Pradesh, India",L6,28 g,13.78333,78.56667
Gursum,1981,"Harerge, Ethiopia",H4/5,34.65 kg,9.36667,42.41667
GŸtersloh,1851,"Nordrhein-Westfalen, Germany",H3/4,1000 g,51.91667,8.38333
Gyokukei,1930,"Cholla-namdo, South Korea",OC,1320 g,35,127.5
Hachi-oji,1817,"Kanto, Japan",H?,0.2 g,35.65,139.33333
Hainaut,1934,"Nord-Pas-de-Calais, France or Belgium",H3-6,9 kg,50.31667,3.73333
Hallingeberg,1944,"Kalmar, Sweden",L3.4,1456 g,57.81667,16.23333
Halstead,1731,UK,Pseudometeorite,,,
Hamlet,1959,"Indiana, USA",LL4,3.71 kg,41.38333,-86.6
Haraiya,1878,"Uttar Pradesh, India",Eucrite-mmict,1000 g,26.8,82.53333
Haripura,1921,"Rajasthan, India",CM2,315 g,28.38333,75.78333
Harleton,1961,"Texas, USA",L6,8.36 kg,32.675,-94.51167
Harrison County,1859,"Indiana, USA",L6,680 g,38.25,-86.16667
Hashima,1910,"Chubu, Japan",H4,1111 g,35.2945,136.70033
Hassi-Jekna,1890,"Adrar, Algeria","Iron, IAB-sHL",1250 g,28.95,0.81667
Hatford,1628,"England, UK",Stone-uncl,29 kg,51.65,-1.51667
Haver_,1971,"Turku Ja Pori, Finland",Ureilite,1544 g,60.24556,22.06194
Hedeskoga,1922,"Malmohus, Sweden",H5,3.5 kg,55.46667,13.78333
Hedjaz,1910,"Tabuk, Saudi Arabia",L3.7-6,6.1 kg,27.33333,35.66667
Heredia,1857,"Heredia, Costa Rica",H5,1000 g,10,-84.1
Hessle,1869,"Uppsala, Sweden",H5,20 kg,59.85,17.66667
Heyetang,1998,"Hunan, China",L3,2.5 kg,27.24687,111.32187
Higashi-koen,1897,"Kyushu, Japan",H5,750 g,33.6,130.43333
High Possil,1804,"Scotland, UK",L6,4.5 kg,55.9,-4.23333
Hiroshima,2003,"Chugoku, Japan",H5,414 g,34.45,132.38333
Hoima,2003,"Western, Uganda",H6,167.7 g,1.345,31.47278
H_kmark,1954,"Vasterbottens, Sweden",L4,306 g,64.43333,21.2
Holbrook,1912,"Arizona, USA",L/LL6,220 kg,34.9,-110.18333
Holetta,1923,"Shewa, Ethiopia",Stone-uncl,1415 g,9.06667,38.41667
Homestead,1875,"Iowa, USA",L5,230 kg,41.8,-91.86667
Honolulu,1825,"Hawaii, USA",L5,2.42 kg,21.3,-157.86667
Hotse,1956,"Shandong, China",L6,180 g,35.66667,115.5
Hoxie,1963,"Kansas, USA",OC,266 g,39.35,-100.45
Hraschina,1751,Croatia,"Iron, IID",49 kg,46.1,16.33333
Huaxi,2010,"Guizhou, China",H5,1600 g,26.46469,106.63241
Hungen,1877,"Hessen, Germany",H6,112 g,50.3,8.91667
Hvittis,1901,"Turku Ja Pori, Finland",EL6,14 kg,61.18333,22.68333
Hyderabad 1898,1898,"Andhra Pradesh, India",Doubtful stone,,17.36667,78.46667
Hyderabad 1936,1936,"Andhra Pradesh, India",Doubtful stone,,17.36667,78.46667
IbbenbŸren,1870,"Nordrhein-Westfalen, Germany",Diogenite,2 kg,52.28333,7.7
Ibitira,1957,"Minas Gerais, Brazil",Eucrite-mmict,2.5 kg,-20,-45
Ibrisim,1949,"Nigde, Turkey",OC,,38,35
Ichkala,1936,"Tomskaya oblast', Russia",H6,3.97 kg,58.2,82.93333
Idutywa,1956,"Eastern Cape, South Africa",H5,3.46 kg,-32.1,28.33333
Igast,1855,Latvia,Pseudometeorite,35 g,57.83333,26.26667
Iguaracu,1977,"Parana, Brazil",H5,1200 g,-23.2,-51.83333
Ijopega,1975,"Eastern Highlands, Papua New Guinea",H6,7.33 kg,-6.03333,145.36667
Indarch,1891,"Baku, Azerbaijan",EH4,27 kg,39.75,46.66667
Independence,1917,"Missouri, USA",L6,880 g,39.08333,-94.4
Indian Butte,1998,"Arizona, USA",H5,1721 g,32.86433,-112.04867
Inner Mongolia,1963 or 1962,"Nei Mongol, China",L6,3 kg,41,112
Innisfree,1977,"Alberta, Canada",L5,4.58 kg,53.415,-111.3375
Iowa City,1861,"Iowa, USA",Doubtful stone,,41.65,-91.51667
Ipacaray,1877,"Cordillera, Paraguay",Doubtful stone,,-25.3,-57.26667
Ipiranga,1972,"Parana, Brazil",H6,7 kg,-25.5,-54.5
Ishinga,1954,"Mbeya, Tanzania",H,1300 g,-8.93333,33.8
Isthilart,1928,"Entre Rios, Argentina",H5,3.05 kg,-31.18333,-57.95
Italy 956,956,Italy,Doubtful meteorite,,,
Italy 963,963,Italy,Doubtful meteorite,,,
Itapicuru-Mirim,1879,"Maranhao, Brazil",H5,2.02 kg,-3.4,-44.33333
Itqiy,1990,"Saguia el Hamra, Western Sahara",EH7-an,4.72 kg,26.59083,-12.95217
Ivuna,1938,"Mbeya, Tanzania",CI1,705 g,-8.41667,32.43333
Jackalsfontein,1903,"Western Cape, South Africa",L6,48 kg,-32.5,21.9
Jajh deh Kot Lalu,1926,"Sind, Pakistan",EL6,973 g,26.75,68.41667
Jalanash,1990,Mongolia,Ureilite,700 g,,
Jalandhar,1621,"Punjab, India",Iron,1967 g,31,75
Jamkheir,1866,"Maharashtra, India",H6,22 g,18.75,75.33333
Jartai,1979,"Nei Mongol, China",L6,20.5 kg,39.7,105.8
Jelica,1889,"Serbia, Serbia and Montenegro",LL6,34 kg,43.83333,20.44167
Jemlapur,1901,India,L6,450 g,,
Jesenice,2009,Slovenia,L6,3.67 kg,46.42137,14.05217
Jhung,1873,"Punjab, Pakistan",L5,5.9 kg,31.3,72.38333
Jiange,1964,"Sichuan, China",H5,222 g,31.91667,104.91667
Jianshi,1890,"Sichuan, China","Iron, IIIAB",600 kg,30.80833,109.5
Jilin,1976,"Jilin, China",H5,4 t,44.05,126.16667
Jinju,2014,"Gyeongsangnam-do, South Korea",H5,34 kg,35.28,128.12333
Jodiya,2006,"Gujarat, India",L5,100 g,22.68,70.31333
Jodzie,1877,Lithuania,Howardite,30 g,55.7,24.4
Johnstown,1924,"Colorado, USA",Diogenite,40.3 kg,40.35,-104.9
Jolomba,1974,"Huambo, Angola",LL6,483 g,-11.85,15.83333
Jonzac,1819,"Poitou-Charentes, France",Eucrite-mmict,5 kg,45.43333,-0.45
Juancheng,1997,"Shandong, China",H5,100 kg,35.5,115.41667
Jubila del Agua,1908,Spain,Doubtful stone,,,
Judesegeri,1876,"Karnataka, India",H6,680 g,12.85,76.8
Jumapalo,1984,"Jawa Timur, Indonesia",L6,32.49 kg,-7.71667,111.2
Junan,1976,"Shandong, China",L6,950 g,35.2,118.8
Juromenha,1968,"Evora, Portugal","Iron, IIIAB",25.25 kg,38.74028,-7.27
Juvinas,1821,"Rhone-Alpes, France",Eucrite-mmict,91 kg,44.71667,4.3
Juzjanan,1009,"Herat, Afghanistan",Doubtful Iron,,34.36667,62.13333
Kaba,1857,"Hajdu-Bihar, Hungary",CV3,3 kg,47.35,21.3
Kabo,1971,"Kano, Nigeria",H4,13.4 kg,11.85,8.21667
Kadonah,1822,"Uttar Pradesh, India",H6,89 g,27.08333,78.33333
Kaee,1838,"Uttar Pradesh, India",H5,230 g,27.25,79.96667
Kagarlyk,1908,"Kiev, Ukraine",L6,1900 g,49.86667,30.83333
Kaidun,1980,"Hadhramaut, Yemen",CR2,2 kg,15,48.3
Kainsaz,1937,"Respublika Tatarstan, Russia",CO3.2,200 kg,55.43333,53.25
Kakangari,1890,"Tamil Nadu, India",K3,350 g,12.38333,78.51667
Kakowa,1858,"Caras-Severin, Romania",L6,577 g,45.13333,21.66667
Kalaba,1951,"Shaba, Congo - Dem. Rep.",H4,950 g,-6.83333,29.5
Kalumbi,1879,"Maharashtra, India",L6,4.5 kg,17.83333,73.98333
Kamalpur,1942,"Uttar Pradesh, India",L6,2.77 kg,26.03333,81.46667
Kamiomi,1913,"Kanto, Japan",H5,448 g,36.04167,139.95667
Kamsagar,1902,"Karnataka, India",L6,1293 g,14.18333,75.8
Kandahar Afghanistan,1959,"Quandahar, Afghanistan",L6,299 g,31.6,65.78333
Kandahar India,1833,India,Doubtful stone,,,
Kangean,1908,"Jawa Timur, Indonesia",H5,1630 g,-7,115.5
Kangra Valley,1897,"Himachal Pradesh, India",H5,400 g,32.08333,76.3
Kansas City 1876,1876,"Missouri, USA",Doubtful stone,,39.1,-94.63333
Kapoeta,1942,South Sudan,Howardite,11.36 kg,4.7,33.63333
Kaprada,2004,"Gujarat, India",L5/6,1600 g,20.33916,73.22329
Kaptal-Aryk,1937,"Dzhambul, Kazakhstan",L6,3.5 kg,42.45,73.36667
Karakol,1840,"Semipalatinsk, Kazakhstan",LL6,3 kg,47.21667,81.01667
Karatu,1963,"Arusha, Tanzania",LL6,2.22 kg,-3.5,35.58333
Karewar,1949,"Katsina, Nigeria",L6,180 g,12.9,7.15
Karkh,1905,"Baluchistan, Pakistan",L6,22 kg,27.8,67.16667
Karloowala,1955,"Punjab, Pakistan",L6,2.95 kg,31.58333,71.6
Karoonda,1930,"South Australia, Australia",CK4,41.73 kg,-35.08333,139.91667
Kasamatsu,1938,"Chubu, Japan",H,710 g,35.36667,136.76667
Kasauli,2003,"Uttar Pradesh, India",H4,16.82 kg,29.58333,77.58333
Katagum,1999,"Bauchi, Nigeria",L6,1500 g,11.33333,10.08333
Katol,2012,"Maharashtra, India",L6,13 kg,21.26395,78.59142
Kavarpura,2006,"Rajasthan, India","Iron, IIE-an",6.8 kg,25.14333,75.81333
Kayakent,1961,"Eskisehir, Turkey","Iron, IIIAB",85 kg,39.26333,31.78
Kediri,1940,"Jawa Timur, Indonesia",L4,3.3 kg,-7.75,112.01667
Kemer,2008,"Mugla, Turkey",L4,5.76 kg,36.54194,29.41822
Kendleton,1939,"Texas, USA",L4,6.94 kg,29.45,-96
Kendrapara,2003,"Orissa, India",H4-5,6.67 kg,20.4625,86.70278
Kerilis,1874,"Bretagne, France",H5,5 kg,48.4,-3.3
Kernouve,1869,"Bretagne, France",H6,80 kg,48.11667,-3.08333
Kesen,1850,"Tohoku, Japan",H4,135 kg,38.98333,141.61667
Khairpur,1873,"Punjab, Pakistan",EL6,13.6 kg,29.53333,72.3
Khanpur,1932,"Uttar Pradesh, India",LL5,3.7 kg,25.55,83.11667
Kharkov,1787,"Sumy, Ukraine",L6,1500 g,50.625,35.075
Khenteisky,1952,"Dornod, Mongolia",Pseudometeorite,,49.2,113.46667
Kheragur,1860,"Uttar Pradesh, India",L6,450 g,26.95,77.88333
Kheri Maham,1986,"Haryana, India",L5,68.5 kg,28.97083,76.32278
Khetri,1867,"Rajasthan, India",H6,100 g,28.01667,75.81667
Khmelevka,1929,"Omskaya oblast', Russia",L5,6.11 kg,56.75,75.33333
Khohar,1910,"Madhya Pradesh, India",L3.6,9.7 kg,25.1,81.53333
Khor Temiki,1932,"Ash Sharqiyah, Sudan",Aubrite,3.2 kg,16,36
Kidairat,1983,"Kurdufan, Sudan",H6,100 kg,14,28
Kiel,1962,"Schleswig-Holstein, Germany",L6,738 g,54.4,10.15
Kiffa,1970,"Assaba, Mauritania",H5,1500 g,16.58333,-11.33333
Kijima 1906,1906,"Chubu, Japan",Stone-uncl,331 g,36.85,138.38333
Kikino,1809,"Smolenskaya oblast', Russia",H6,195 g,55,34
Kilabo,2002,"Jigawa, Nigeria",LL6,19 kg,12.76667,9.8
Kilbourn,1911,"Wisconsin, USA",H5,772 g,43.58333,-89.6
Killeter,1844,"Ulster, Ireland",H6,140 g,54.66667,-7.66667
Kingai,1967,"Darfur, Sudan",H6,67.4 g,11.63333,24.68333
Kirbyville,1906,"Texas, USA",Eucrite-mmict,97.7 g,30.75,-95.95
Kirkland,1955,"Washington, USA",Pseudometeorite,232 g,47.69306,-122.17028
Kisvars‡ny,1914,"Szabolcs-Szatmar-Bereg, Hungary",L6,1550 g,48.16667,22.30833
Kitchener,1998,"Ontario, Canada",L6,203 g,43.38333,-80.38333
Klagenfurt,1849,"Karnten, Austria",Doubtful OC,123 g,46.63333,14.3
Klein-Wenden,1843,"Thuringen, Germany",H6,3.25 kg,51.6,10.8
Kloster Schefftlar,1722,"Bayern, Germany",Doubtful meteorite,,48.4,11.73333
Knyahinya,1866,"Zakarpats'ka, Ukraine",L/LL5,500 kg,48.9,22.4
Kobe,1999,"Kinki, Japan",CK4,136 g,34.73333,135.16667
Kochi,1949,"Shikoku, Japan",Doubtful stone,1.6 g,33.545,133.54806
Kokubunji,1986,"Shikoku, Japan",L6,11.51 kg,34.3,133.95
Komagome,1926,"Kanto, Japan",Iron,238 g,35.73333,139.75
Konovo,1931,"Burgas, Bulgaria",LL5,90 g,42.51667,26.16667
Ko_ice,2010,"Vychodoslovensky, Slovakia",H5,4.3 kg,48.76367,21.17633
Kr_henberg,1869,"Rheinland-Pfalz, Germany",LL5,16.5 kg,49.32694,7.46472
Krasnoi-Ugol,1829,"Ryazanskaya oblast', Russia",L6,2.44 kg,54.03333,40.9
Krasnyi Klyuch,1946,"Respublika Bashkortostan, Russia",H5,4 kg,54.33333,56.08333
Kri_evci,2011,Croatia,H6,291 g,46.03889,16.58972
Krutikha,1906,"Novosibirskaya oblast', Russia",OC,845 g,56.8,77
Krymka,1946,"Nikolayev, Ukraine",LL3.2,50 kg,47.83333,30.76667
Kukschin,1938,"Chernigov, Ukraine",L6,2.25 kg,51.15,31.7
Kulak,1961,"Baluchistan, Pakistan",L5,454 g,30.73111,66.80222
Kuleschovka,1811,"Sumy, Ukraine",L6,6 kg,50.75,33.5
Kuli-schu,1827,China,Doubtful meteorite,,,
Kulp,1906,Armenia,H6,3.72 kg,41.11667,45
Kunashak,1949,"Chelyabinskaya oblast', Russia",L6,200 kg,55.78333,61.36667
Kunya-Urgench,1998,"Tashauz, Turkmenistan",H5,1.1 t,42.25,59.2
Kuresoi,2014,"Rift Valley, Kenya",L6,555 g,-0.3,35.52892
Kurumi,,"Kinki, Japan",Pseudometeorite,44 g,34.68333,135.11667
Kushiike,1920,"Tohoku, Japan",OC,4.46 kg,37.05,138.38333
Kusiali,1860,"Uttar Pradesh, India",L6,5 g,29.68333,78.38333
Kutais,1977,"Krasnodarskiy kray, Russia",H5,23 g,44.51667,39.3
Kuttippuram,1914,"Kerala, India",L6,45 kg,10.83333,76.03333
Kuznetzovo,1932,"Novosibirskaya oblast', Russia",L6,4.05 kg,55.2,75.33333
La B_casse,1879,"Centre, France",L6,2.8 kg,47.08333,1.75
La Charca,1878,"Guanajuato, Mexico",OC,399 g,20.66667,-101.28333
La Colina,1924,"Buenos Aires, Argentina",H5,2 kg,-37.33333,-61.53333
La Criolla,1985,"Entre Rios, Argentina",L6,45 kg,-31.23333,-58.16667
Laborel,1871,"Rhone-Alpes, France",H5,3.83 kg,44.28333,5.58333
Ladkee,2012,"Sind, Pakistan",H6,69 g,24.37778,69.68056
Lahrauli,1955,"Uttar Pradesh, India",Ureilite,900 g,26.78333,82.71667
L'Aigle,1803,"Basse-Normandie, France",L6,37 kg,48.76667,0.63333
Lakangaon,1910,"Madhya Pradesh, India",Eucrite-mmict,213 g,21.86667,76.03333
Lalitpur,1887,"Uttar Pradesh, India",L6,372 g,24.45,78.56667
Lanc_,1872,"Centre, France",CO3.5,51.7 kg,47.7,1.06667
Lancon,1897,"Provence-Alpes-Cote d'Azur, France",H6,7 kg,43.75,5.11667
Langeac,,"Auvergne, France",Pseudometeorite,,45.1,3.51667
LŒnghalsen,1947,"Sodermanlands, Sweden",L6,2.3 kg,58.85,16.73333
Lanxi,1986,"Heilongjiang, China",L6,1282 g,46.24167,126.19611
Lanzenkirchen,1925,"Niederosterreich, Austria",L4,7 kg,47.75,16.23333
Laochenzhen,1987,"Henan, China",H5,14.25 kg,33.13333,115.16667
Larissa,1706,"Thessalia, Greece",Doubtful meteorite,7.7 kg,39.63333,22.41667
Launton,1830,"England, UK",L6,1060 g,51.9,-1.11667
Lausanne,1894,"Vaud, Switzerland",Doubtful Iron,720 g,46.51667,6.63333
Lavrentievka,1938,"Orenburgskaya oblast', Russia",L6,800 g,52.45,51.56667
Le Gould's Stone,1864,"Queensland, Australia",Pseudometeorite,,-23.41667,148.91667
Le Pressoir,1845,"Centre, France",H5,3 kg,47.16667,0.43333
Le Teilleul,1845,"Basse-Normandie, France",Howardite,780 g,48.53333,-0.86667
Leedey,1943,"Oklahoma, USA",L6,51.5 kg,35.88333,-99.33333
Leeuwfontein,1912,"Gauteng, South Africa",L6,460 g,-25.66667,28.36667
Legnano,1855,"Veneto, Italy",Pseudometeorite,2.01 kg,45.25,11.25
Leighlinbridge,1999,"Leinster, Ireland",L6,271 g,52.66667,-6.96667
Leighton,1907,"Alabama, USA",H5,877 g,34.58333,-87.5
Leonovka,1900,"Chernigov, Ukraine",L6,700 g,52.26667,32.85
Les Ormes,1857,"Bourgogne, France",L6,125 g,48.35,3.25
Lesves,1896,"Namur, Belgium",L6,2 kg,50.36667,4.73333
Lichtenberg,1973,"North West, South Africa",H6,4 kg,-26.15,26.18333
Lillaverke,1930,"Kalmar, Sweden",H5,6.86 kg,56.65,15.86667
Limerick,1813,"Munster, Ireland",H5,50 kg,52.56667,-8.78333
Limousin,1540,"Limousin, France",Doubtful meteorite,,45.6,1.5
Linum,1854,"Brandenburg, Germany",L6,1862 g,52.75,12.9
Lishui,1978,"Jiangsu, China",L5,498 g,31.63333,118.98333
Lissa,1808,"Stredocesky, Czech Republic",L6,12.8 kg,50.2,14.85
Little Piney,1839,"Missouri, USA",L5,491 g,37.91667,-92.08333
Lixna,1820,Latvia,H4,5.21 kg,56,26.43333
Loch Tay,1802,"Scotland, UK",Doubtful meteorite,,56.53333,-4.16667
Lodi,,Italy,Pseudometeorite,500 g,,
Lodran,1868,"Punjab, Pakistan",Lodranite,1000 g,29.53333,71.8
Loerbeek,,Netherlands,Pseudometeorite,,,
Lohawat,1994,"Rajasthan, India",Howardite,40 kg,26.96556,72.62667
London,,"England, UK",Pseudometeorite,,51.51667,-0.16667
Lorton,2010,"Virginia, USA",L6,330 g,38.70066,-77.21163
Los Martinez,1894,"Valenciana, Spain",L6,25 g,38,-0.83333
Lost City,1970,"Oklahoma, USA",H5,17 kg,36.00833,-95.15
Louisville,1977,"Kentucky, USA",L6,1300 g,38.25,-85.75
Lowell,1846,"Massachusetts, USA",Doubtful meteorite,200 kg,42.68333,-71.35
_owicz,1935,"Skierniewice, Poland",Mesosiderite-A3,59 kg,52,19.91667
Lua,1926,"Rajasthan, India",L5,9.24 kg,24.95,75.15
Lucania,-56,"Basilicata, Italy",Doubtful Iron,,40.5,16
Luc_,1768,"Pays de la Loire, France",L6,3.5 kg,47.85,0.48333
Lumpkin,1869,"Georgia, USA",L6,340 g,32.03333,-84.76667
Lunan,1980,"Yunnan, China",H6,2.52 kg,24.8,103.3
LundsgŒrd,1889,"Kristianstads, Sweden",L6,11 kg,56.21667,13.03333
Luotolax,1813,"Kymi, Finland",Howardite,885 g,61.2,27.7
Luponnas,1753,"Rhone-Alpes, France",H3-5,14 kg,46.21667,5
Lusaka,1951,"Shaba, Congo - Dem. Rep.",Unknown,,-7.21667,29.43333
Mabwe-Khoywa,1937,"Kayah State, Burma",L5,540 g,19,97
Macatuba,1951,,Doubtful meteorite,,,
Macau,1836,"Rio Grande do Norte, Brazil",H5,1500 g,-5.2,-36.66667
Machinga,1981,"Southern, Malawi",L6,93.2 kg,-15.21222,35.24222
Macibini,1936,"KwaZulu/Natal, South Africa",Eucrite-pmict,1995 g,-28.83333,31.95
Madhipura,1950,"Bihar, India",L,1000 g,25.91667,86.36667
Madiun,1935,"Jawa Timur, Indonesia",L6,400 g,-7.75,111.53333
Madrid,1896,"Madrid, Spain",L6,400 g,40.41667,-3.71667
Mafra,1941,"Santa Catarina, Brazil",L3-4,600 g,-26.16667,-49.93333
Magdeburg,998,"Sachsen-Anhalt, Germany",Doubtful meteorite,,52.13333,11.63333
Magnesia,1899,"Aydin, Turkey","Iron, IAB-sHL",5 kg,37.86667,27.51667
Magombedze,1990,"Masvingo, Zimbabwe",H3-5,667 g,-19.48333,31.65
Mahadevpur,2007,"Arunachal Pradesh, India",H4/5,70.5 kg,27.66667,95.78333
Maigatari-Danduma,2004,"Zinder, Niger",H5/6,4.63 kg,12.83333,9.38333
Majorca,1935,"Isles Baleares, Spain",Doubtful Iron,824 g,39.45,2.81667
Malaga,1933,"New Mexico, USA",OC,150 g,32.21667,-104
Malakal,1970,South Sudan,L5,2 kg,9.5,31.75
Malampaka,1930,"Shinyanga, Tanzania",H,470 g,-3.13333,33.51667
Malotas,1931,"Santiago del Estero, Argentina",H5,,-28.93333,-63.23333
Malpas,1813,"Wales, UK",Doubtful meteorite,,53.01667,-2.85
Malvern,1933,"Free State, South Africa",Eucrite-pmict,807 g,-29.45,26.76667
Mamra Springs,1927,"Kzyl-Orda, Kazakhstan",L6,1000 g,45.21667,62.08333
Manbhoom,1863,"West Bengal, India",LL6,1700 g,23.05,86.7
Manegaon,1843,"Maharashtra, India",Diogenite,50 g,20.96667,76.1
Mangwendi,1934,"Mashonaland East, Zimbabwe",LL6,22.3 kg,-17.65,31.6
Manych,1951,"Kalmykiya-Khal'mg Tangch, Russia",LL3.4,3.56 kg,45.81667,44.63333
Mar del Plata,,"Buenos Aires, Argentina",Pseudometeorite,,-38,-57.53333
Mardan,1948,"North-west Frontier, Pakistan",H5,4.5 kg,34.23333,72.08333
Maria Linden,1925,South Africa,L4,114 g,,
Mariaville,1898,"Nebraska, USA",Iron,340 g,42.71667,-99.38333
Maribo,2009,"Region Sjaelland, Denmark",CM2,25.8 g,54.76183,11.46745
Maridi,1941,South Sudan,H6,3.2 kg,4.66667,29.25
Marilia,1971,"Sao Paulo, Brazil",H4,2.5 kg,-22.25,-49.93333
Marion Iowa,1847,"Iowa, USA",L6,28.4 kg,41.9,-91.6
Marjalahti,1902,"Respublika Kareliya, Russia","Pallasite, PMG",45 kg,61.5,30.5
Marmande,1848,"Aquitaine, France",L5,3 kg,44.5,0.15
Maromandia,2002,"Mahajanga, Madagascar",L6,6 kg,-14.2,48.1
Marsala,1834,"Sicilia, Italy",Doubtful meteorite,6.8 kg,37.78333,12.41667
Maryville,1983,"Tennessee, USA",L6,1443 g,35.8,-84.1
Mascombes,1836,"Limousin, France",L6,1000 g,45.36667,1.86667
Mason Gully,2010,"Western Australia, Australia",H5,24.5 g,,
Massa-Lubrense,1819,"Campania, Italy",Doubtful meteorite,,40.6,14.33333
M_ssing,1803,"Bayern, Germany",Howardite,1600 g,48.13333,12.61667
Mauerkirchen,1768,"Oberosterreich, Austria",L6,19 kg,48.18333,13.13333
Mauritius,1801,Mauritius,LL5-6,220 g,-20,57
Mayo Belwa,1974,"Adamawa, Nigeria",Aubrite,4.85 kg,8.96667,12.08333
Mazapil,1885,"Zacatecas, Mexico","Iron, IAB-sLL",4 kg,24.68333,-101.68333
