Name,Fall,Year,Place,Type,Mass,Lat, Long,
Northwest Africa 2925,FALSE,1837,(Northwest Africa),Unknown,,-85.65628,-68.63613,
Dhofar 1094,FALSE,1892,Oman,Unknown,,-84.41511,163.67432,
Northwest Africa 417,FALSE,1921,(Northwest Africa),Unknown,260 g,-84.27555,161.36501,
Northwest Africa 868,FALSE,1820,(Northwest Africa),Unknown,201 g,-84.2739,161.68664,
Medanitos**,TRUE,1953,"Catamarca, Argentina",Eucrite-cm,31 g,-84.24695,161.44572,
Molteno,TRUE,1953,"Eastern Cape, South Africa",Howardite,150 g,-84.24694,161.39456,
Peckelsheim**,TRUE,1953,"Nordrhein-Westfalen, Germany",Diogenite-pm,117.8 g,-84.24693,161.407,
Dresden (Kansas)**,FALSE,1953,"Kansas, USA",H5,6.76 kg,-84.24692,161.45952,
Lombard,FALSE,1953,"Montana, USA","Iron, IIAB",7 kg,-84.24689,161.52939,
Roper River,FALSE,1953,"Northern Territory, Australia","Iron, IIIAB",6.4 kg,-84.24683,161.39533,
Turtle River**,FALSE,1953,"Minnesota, USA","Iron, IIIAB",22.39 kg,-84.24683,161.39532,
Ventura,FALSE,1953,"California, USA","Iron, IAB-ung",7.7 kg,-84.24676,161.46262,
Villanueva del Fresno,FALSE,1953,"Extremadura, Spain",Pseudometeorite,132 g,-84.24675,161.42207,
Woodbine**,FALSE,1953,"Illinois, USA","Iron, IAB-ung",48.2 kg,-84.24671,161.46114,
Northwest Africa 5224,FALSE,1863,(Northwest Africa),Unknown,418 g,-84.24236,161.44864,
Northwest Africa 438,FALSE,1903,(Northwest Africa),Unknown,3 kg,-84.21667,160.5,
Northwest Africa 705,FALSE,1835,(Northwest Africa),Unknown,140 g,-84,168,
Northwest Africa 1073,FALSE,1958,(Northwest Africa),Unknown,0.86 g,-86.36667,-70,
Umm as Samim 006,FALSE,1939,,,Oman,-85.69922,-68.96758,
Northwest Africa 780,FALSE,1805,(Northwest Africa),Unknown,182 g,-85.66667,175,
Moshesh,FALSE,1982,"Eastern Cape, South Africa",H,200 kg,-85.6648,-68.59069,
Northwest Africa 1404,FALSE,1863,(Northwest Africa),Unknown,249 g,-85.63333,-68.7,
Northwest Africa 4775,FALSE,1986,(Northwest Africa),LL5,22.7 g,-85.16033,-94.562,
Northwest Africa 1288,FALSE,1941,(Northwest Africa),Unknown,667 g,-84.59805,162.21336,
Northwest Africa 3185,FALSE,1921,(Northwest Africa),Unknown,,-84.24651,161.39562,
Arbol Solo**,TRUE,1954,"San Luis, Argentina",H5,810 g,-84.24646,161.39773,
H_kmark**,TRUE,1954,"Vasterbottens, Sweden",L4,306 g,-84.24642,161.38596,
Ishinga**,TRUE,1954,"Mbeya, Tanzania",H,1300 g,-84.24641,161.43001,
Nikolskoe**,TRUE,1954,"Moskovskaya oblast', Russia",L4,6 kg,-84.24634,161.45273,
Sylacauga**,TRUE,1954,"Alabama, USA",H4,5.56 kg,-84.24626,161.46764,
Yangchiang,TRUE,1954,Guangdong, China,H5,-84.24623,161.41018,
as-Sanam,FALSE,1954,"Ash Sharqiyah, Saudi Arabia",Stone-uncl,,-84.24623,161.40761,
Chico**,FALSE,1954,"New Mexico, USA",L6,104.8 kg,-84.24622,161.47499,
Clover Springs**,FALSE,1954,"Arizona, USA",Mesosiderite-A2,7.7 kg,-84.24618,161.42644,
El Rancho Grande**,FALSE,1954,"New Mexico, USA",Pallasite,40.7 g,-84.24617,161.40878,
Flagg**,FALSE,1954,"Texas, USA",L5,7 kg,-84.24613,161.4638,
Ghubara**,FALSE,1954,"Al Wusta, Oman",L5,1.75 t,-84.24613,161.41065,
Giroux**,FALSE,1954,"Manitoba, Canada","Pallasite, PMG",4.28 kg,-84.24608,161.40195,
Jerome (Idaho)**,FALSE,1954,"Idaho, USA",L,6.8 kg,-84.24595,161.46706,
Palmas de Monte Alto**,FALSE,1954,"Bahia, Brazil","Iron, IIIAB",97 kg,-84.24588,161.44441,
Palo Blanco Creek**,FALSE,1954,"New Mexico, USA",Eucrite-mmict,1482 g,-84.24587,161.39983,
Pinto Mountains**,FALSE,1954,"California, USA",L6,17.9 kg,-84.24585,161.40079,
Point of Rocks (stone)**,FALSE,1954,"New Mexico, USA",L6,800 g,-84.24585,161.40139,
Tarfa**,FALSE,1954,"Al Wusta, Oman",L6,1040 g,-84.24578,161.4396,
Thoreau**,FALSE,1954,"New Mexico, USA","Iron, IAB complex",500 g,-84.24568,161.4447,
Umbarger**,FALSE,1954,"Texas, USA",L6,13 kg,-84.24567,161.42829,
Manlai,FALSE,1954,"Dundgovi, Mongolia","Iron, ungrouped",166.8 kg,-84.24555,161.40203,
Northwest Africa 1101,FALSE,1887,(Northwest Africa),Unknown,37 g,-84.21667,160.5,
Northwest Africa 5512,FALSE,1850,(Northwest Africa),Unknown,57 g,-76.28297,156.50308,
Ceylon,FALSE,1994,Sri Lanka,Pseudometeorite,44 g,-86.36667,-70,
Northwest Africa 810,FALSE,1873,(Northwest Africa),Unknown,991 g,-86.36667,-70,
Northwest Africa 393,FALSE,1847,(Northwest Africa),Unknown,337 g,-85.69303,-68.52676,
Northwest Africa 955,FALSE,1940,(Northwest Africa),Unknown,10.2 g,-85.67864,-69.07062,
Dhofar 415,FALSE,1948,Oman,Unknown,,-84.28687,161.56467,
Dhofar 1125,FALSE,2001,Oman,Unknown,,-84.27379,161.68546,
Northwest Africa 1721,FALSE,1921,(Northwest Africa),Unknown,48 g,-84.27289,161.71234,
Northwest Africa 289,FALSE,1869,(Northwest Africa),Unknown,450 g,-84.2455,161.40545,
Zvonkov**,TRUE,1955,"Kiev, Ukraine",H6,2.57 kg,-84.24536,161.45055,
Karloowala**,TRUE,1955,"Punjab, Pakistan",L6,2.95 kg,-84.24533,161.42408,
Kirkland**,TRUE,1955,"Washington, USA",Pseudometeorite,232 g,-84.24527,161.40606,
Lahrauli**,TRUE,1955,"Uttar Pradesh, India",Ureilite,900 g,-84.24526,161.38972,
Messina,TRUE,1955,"Sicilia, Italy",L5,2.41 kg,-84.24524,161.44844,
Zenda**,FALSE,1955,"Wisconsin, USA","Iron, IAB complex",3.7 kg,-84.2452,161.4456,
al-Jimshan,FALSE,1955,"Ash Sharqiyah, Saudi Arabia",H4,11.45 kg,-84.24519,161.39823,
ar-Rakhbah,FALSE,1955,"Ash Sharqiyah, Saudi Arabia",Iron,462 g,-84.24515,161.44419,
Arabella,FALSE,1955,"New Mexico, USA",Iron,1000 g,-84.24513,161.405,
Aswan**,FALSE,1955,"Al Wadi al Jadid, Egypt","Iron, IAB-ung",12 kg,-84.24513,161.41736,
Bellsbank**,FALSE,1955,"Northern Cape, South Africa","Iron, IIG",38 kg,-84.24509,161.49137,
Cottonwood**,FALSE,1955,"Arizona, USA",H5,800 g,-84.24507,161.44897,
Dora (pallasite),FALSE,1955,"New Mexico, USA","Pallasite, PMG",7.6 kg,-84.24499,161.41825,
Edmonson (a)**,FALSE,1955,"Texas, USA",L6,12 kg,-84.24499,161.45477,
Gressk**,FALSE,1955,"Minsk, Belarus","Iron, IIAB",303 kg,-84.24498,161.40753,
Hope**,FALSE,1955,"Arkansas, USA","Iron, IAB-MG",6.8 kg,-84.24496,161.40661,
Lakewood**,FALSE,1955,"New Mexico, USA",L6,46.5 kg,-84.2449,161.42359,
Landreth Draw**,FALSE,1955,"Texas, USA",H5,,-84.2449,161.41244,
Marion (Kansas)**,FALSE,1955,"Kansas, USA",L5,2.89 kg,-84.24489,161.41421,
Mayday**,FALSE,1955,"Kansas, USA",H4,6.9 kg,-84.24473,161.41512,
Oborniki**,FALSE,1955,"Poznan, Poland",Doubtful Iron,,-84.24473,161.42959,
Rub' al-Khali 001,FALSE,1955,"Ash Sharqiyah, Saudi Arabia",H5,490 g,-84.24466,161.42542,
Rub' al-Khali 002,FALSE,1955,"Ash Sharqiyah, Saudi Arabia",L6,55 g,-84.24447,161.40879,
Thule**,FALSE,1955,"Nordgronland, Greenland","Iron, IIIAB",48.6 kg,-84.24447,161.43169,
Twin City**,FALSE,1955,"Georgia, USA","Iron, IAB-ung",5.13 kg,-84.24445,161.40631,
Wellington**,FALSE,1955,"Texas, USA",H5,13.4 kg,-84.24443,161.41022,
Flood Donga 000,FALSE,1808,Australia,Reserved,,-84.23827,161.44772,
Northwest Africa 400,FALSE,1993,(Northwest Africa),Unknown,10 kg,-84,168,
Northwest Africa 682,FALSE,1945,(Northwest Africa),Unknown,50 g,-86.36667,-70,
Northwest Africa 1744,FALSE,1922,(Northwest Africa),Unknown,46 g,-85.6927,-69.01495,
Northwest Africa 2599,FALSE,1906,(Northwest Africa),LL5,235 g,-85.69268,-68.97183,
Northwest Africa 5471,FALSE,1898,(Northwest Africa),Unknown,538 g,-85.69109,-67.71308,
Northwest Africa 1018,FALSE,1887,(Northwest Africa),Unknown,1756 g,-85.68622,-68.78279,
Northwest Africa 4077,FALSE,1931,(Northwest Africa),H6,89.9 g,-85.67746,-69.04883,
Northwest Africa 5547,FALSE,1919,(Northwest Africa),Unknown,1060 g,-85.6771,-69.04709,
Northwest Africa 2438,FALSE,1974,(Northwest Africa),Unknown,,-85.67554,-68.73924,
Northwest Africa 5757,FALSE,1910,(Northwest Africa),Unknown,330 g,-85.66667,175,
Breitscheid**,TRUE,1956,"Hessen, Germany",H5,1500 g,-84.2437,161.41893,
Centerville**,TRUE,1956,"South Dakota, USA",H5,45.6 g,-84.24357,161.44753,
Hotse,TRUE,1956,"Shandong, China",L6,180 g,-84.24357,161.4531,
Idutywa**,TRUE,1956,"Eastern Cape, South Africa",H5,3.46 kg,-84.24353,161.44253,
Nadiabondi**,TRUE,1956,"Gourma, Burkina Faso",H5,8.17 kg,-84.24349,161.41674,
Paranaiba,TRUE,1956,"Mato Grosso do Sul, Brazil",L6,100 kg,-84.24349,161.44035,
San Pedro de Quiles**,TRUE,1956,"Coquimbo, Chile",L6,282 g,-84.24348,161.44685,
Sinnai**,TRUE,1956,"Sardegna, Italy",H6,2 kg,-84.24344,161.43724,
Zerkaly,FALSE,1956,"Altayskiy kray, Russia",H5,16 kg,-84.24343,161.43664,
Bondoc**,FALSE,1956,"Southern Tagalog, Philippines",Mesosiderite-B4,888.6 kg,-84.24341,161.50155,
Comanche (stone),FALSE,1956,"Texas, USA",L5,2.4 kg,-84.24334,161.4258,
Crocker's Well**,FALSE,1956,"South Australia, Australia",LL7,3.8 g,-84.24333,161.43806,
Densmore (c),FALSE,1956,"Kansas, USA",OC,3.9 kg,-84.24332,161.449,
Dispatch**,FALSE,1956,"Kansas, USA",H,220 g,-84.24331,161.41815,
Dumas (a)**,FALSE,1956,"Texas, USA",H5,46.05 kg,-84.24323,161.41322,
Hechi,FALSE,1956,"Guangxi, China",Stone-uncl,,-84.2432,161.42401,
Kaldoonera Hill**,FALSE,1956,"South Australia, Australia",H6,12 kg,-84.24302,161.43479,
Kybunga**,FALSE,1956,"South Australia, Australia",L5,7.9 kg,-84.24297,161.52348,
La Villa**,FALSE,1956,"Texas, USA",H4,19.8 kg,-84.24292,161.42643,
Lake Grace,FALSE,1956,"Western Australia, Australia",L6,10.5 kg,-84.24292,161.44112,
Machtenstein**,FALSE,1956,"Bayern, Germany",H5,1422 g,-84.24289,161.48879,
Nicolàs Levalle,FALSE,1956,"Buenos Aires, Argentina",L5,60 kg,-84.24284,161.44999,
Point of Rocks (iron)**,FALSE,1956,"New Mexico, USA","Iron, IIIAB",18 kg,-84.24278,161.41831,
Seguin**,FALSE,1956,"Kansas, USA",H6,750 g,-84.24278,161.42591,
Tamir-Tsetserleg,FALSE,1956,"Arhangay, Mongolia",Stone-uncl,173 kg,-84.24277,161.48895,
Trifir**,FALSE,1956,"Kidal, Mali",L6,1000 g,-84.24273,161.42397,
Walltown**,FALSE,1956,"Kentucky, USA",L6,1600 g,-84.24263,161.46527,
Tianlin,FALSE,1956,"Guangxi, China","Iron, IAB complex",300 kg,-84.24263,161.4795,
Northwest Africa 3032,FALSE,1989,(Northwest Africa),Unknown,,-84.23719,161.45159,
Northwest Africa 5838,FALSE,1879,(Northwest Africa),H6,1439 g,-84,168,
Northwest Africa 389,FALSE,1861,(Northwest Africa),Unknown,317 g,-86.50985,-122.96218,
Northwest Africa 7141,FALSE,1870,(Northwest Africa),Unknown,348 g,-86.36667,-70,
Northwest Africa 558,FALSE,1957,(Northwest Africa),Unknown,140 g,-85.67252,-68.97649,
Northwest Africa 994,FALSE,2009,(Northwest Africa),Unknown,22 g,-85.66667,175,
Northwest Africa 1139,FALSE,1951,(Northwest Africa),Unknown,61.6 g,-85.66112,-68.34976,
Jiddat al Harasis 758,FALSE,2005,"Al Wusta, Oman",L6,271 g,-85.16349,-94.60018,
Northwest Africa 1419,FALSE,1836,(Northwest Africa),Unknown,158 g,-84.61429,162.12224,
Northwest Africa 2409,FALSE,1809,(Northwest Africa),Unknown,,-84.35811,161.24509,
Northwest Africa 602,FALSE,1852,(Northwest Africa),Unknown,194 g,-84.28333,161.08333,
Northwest Africa 2744,FALSE,1999,(Northwest Africa),Unknown,,-84.2739,161.68448,
Northwest Africa 1003,FALSE,1966,(Northwest Africa),Unknown,71.4 g,-84.27374,161.69076,
Dhofar 892,FALSE,1965,Oman,Unknown,,-84.27099,161.41336,
Northwest Africa 654,FALSE,1988,(Northwest Africa),Unknown,402 g,-84.2709,161.4058,
Al Rais**,TRUE,1957,"Al Madinah, Saudi Arabia",CR2-an,160 g,-84.24232,161.43172,
Distrito Quebracho**,TRUE,1957,"Entre Rios, Argentina",H4,400 g,-84.24231,161.45914,
Essebi**,TRUE,1957,"Haut-Zaire, Congo - Dem. Rep.",C2-ung,500 g,-84.24226,161.43806,
Ibitira**,TRUE,1957,"Minas Gerais, Brazil",Eucrite-mmict,2.5 kg,-84.24221,161.45957,
Raco**,TRUE,1957,"Tucuman, Argentina",H5,5 kg,-84.2421,161.42462,
Ufana**,TRUE,1957,"Arusha, Tanzania",EL6,189.2 g,-84.24206,161.44084,
Canyon**,FALSE,1957,"Texas, USA",H?,860 g,-84.24203,161.45386,
Dale Dry Lake**,FALSE,1957,"California, USA",L3.7,300 g,-84.24203,161.44334,
Forestburg (a)**,FALSE,1957,"Texas, USA",L4,26.1 kg,-84.2419,161.4389,
Forestburg (b)**,FALSE,1957,"Texas, USA",L5,26.6 kg,-84.24183,161.45447,
Ider,FALSE,1957,"Alabama, USA","Iron, IIIAB",140 kg,-84.24173,161.43651,
Jiddat al Harasis,FALSE,1957,"Al Wusta, Oman",H4,1400 g,-84.24169,161.47922,
Rub' al-Khali 003,FALSE,1957,"Ash Sharqiyah, Saudi Arabia",Iron,18 g,-84.24146,161.4745,
St. Peter**,FALSE,1957,"Kansas, USA",L5,6.8 kg,-84.24138,161.44118,
Shangdu**,FALSE,1957,"Nei Mongol, China","Iron, IIIAB",247 kg,-84.24135,161.46529,
South Dahna,FALSE,1957,"Ash Sharqiyah, Saudi Arabia","Iron, IAB complex",275 kg,-84.24124,161.49011,
Susuman**,FALSE,1957,"Magadanskaya oblast', Russia","Iron, IIIAB",18.9 kg,-84.24124,161.44208,
Yorktown (Texas),FALSE,1957,Texas, USA,H5,-84.24103,161.49164,
Northwest Africa 1675,FALSE,1840,(Northwest Africa),Unknown,520 g,-76.26869,156.49893,
Northwest Africa 271,FALSE,1815,(Northwest Africa),Unknown,236 g,-85.69206,-69.08598,
Northwest Africa 1250,FALSE,1974,(Northwest Africa),Unknown,522 g,-85.63333,157.16667,
Northwest Africa 1754,FALSE,1848,(Northwest Africa),Unknown,60 g,-84.28652,161.34567,
Northwest Africa 5379,FALSE,2005,(Northwest Africa),Unknown,6.1 g,-84.27542,161.41166,
Northwest Africa 123,FALSE,1944,(Northwest Africa),Unknown,124.7 g,-84.27371,161.68664,
Northwest Africa 4135,FALSE,1923,(Northwest Africa),L6,91.1 g,-84.26917,161.39696,
Okabe**,TRUE,1958,"Kanto, Japan",H5,194 g,-84.23946,161.41144,
Orebro,TRUE,1958,"Orebro, Sweden",Pseudometeorite,8 kg,-84.2394,161.50343,
Ramsdorf**,TRUE,1958,"Nordrhein-Westfalen, Germany",L6,4.68 kg,-84.23937,161.44369,
San Cerre de Mallorca,TRUE,1958,"Isles Baleares, Spain",Doubtful meteorite,3.6 kg,-84.23933,161.44384,
Belmont**,FALSE,1958,"Wisconsin, USA",H6,25.3 kg,-84.2393,161.47124,
Bir Hadi,FALSE,1958,"Ash Sharqiyah, Saudi Arabia",H5,855 g,-84.2393,161.45625,
Bison**,FALSE,1958,"Kansas, USA",LL6,11 kg,-84.23923,161.44448,
Calliham**,FALSE,1958,"Texas, USA",L6,40 kg,-84.23906,161.43889,
Crow Peak**,FALSE,1958,"South Dakota, USA","Iron, IIAB",6.32 kg,-84.23903,161.46376,
Governador Valadares,FALSE,1958,"Minas Gerais, Brazil",Martian (nakhlite),158 g,-84.23897,161.42395,
Hajmah (a)**,FALSE,1958,"Al Wusta, Oman",Ureilite,596 g,-84.23886,161.50595,
Hajmah (b)**,FALSE,1958,"Al Wusta, Oman",L6,891 g,-84.23886,161.44105,
Hajmah (c)**,FALSE,1958,"Al Wusta, Oman",L5/6,1132 g,-84.23877,161.48428,
Massenya,FALSE,1958,"Chari-Baguirmi, Chad",H5,612 g,-84.23873,161.48049,
Matad,FALSE,1958,"Dornod, Mongolia",Pseudometeorite,189.5 g,-84.23863,161.42761,
Nantan,FALSE,1958,"Guangxi, China","Iron, IAB-MG",9.5 t,-84.23857,161.44248,
Ridgecrest**,FALSE,1958,"California, USA",H5,9.7 g,-84.23856,161.42519,
Santiago Papasquiero**,FALSE,1958,"Durango, Mexico","Iron, ungrouped",119.5 kg,-84.23855,161.45615,
Sombrerete**,FALSE,1958,"Zacatecas, Mexico","Iron, IAB-sHL",10 kg,-84.23854,161.48636,
South Oman,FALSE,1958,"Al Wusta, Oman",EH4/5,90 g,-84.23847,161.43369,
Wingellina**,FALSE,1958,"Western Australia, Australia",H4,200 g,-84.2384,161.43169,
Hammadah al Hamra 260,FALSE,1962,"Gharyan, Libya",L6,530 g,-72.955,160.44083,
Akwanga**,TRUE,1959,"Plateau, Nigeria",H,3 kg,-84.23801,161.50106,
Gdynia,TRUE,1959,"Gdansk, Poland",Doubtful meteorite,,-84.23797,161.42603,
Hamlet**,TRUE,1959,"Indiana, USA",LL4,3.71 kg,-84.23792,161.46094,
Kandahar (Afghanistan)**,TRUE,1959,"Quandahar, Afghanistan",L6,299 g,-84.23785,161.44366,
Pribram**,TRUE,1959,"Stredocesky, Czech Republic",H5,5.56 kg,-84.23783,161.50315,
St.-Chinian**,TRUE,1959,"Languedoc-Roussillon, France",L6,134.3 g,-84.23782,161.46436,
Yardymly **,TRUE,1959,Baku, Azerbaijan,Iron,-84.23775,161.45147,
Alatage,FALSE,1959,"Xinjiang, China","Iron, IIIAB",37.5 kg,-84.23772,161.48392,
Algarrobo**,FALSE,1959,"Atacama, Chile","Iron, IAB-ung",1280 g,-84.2377,161.4591,
Bagdad**,FALSE,1959,"Arizona, USA","Iron, IIIAB",2.2 kg,-84.23762,161.42981,
Cee Vee**,FALSE,1959,"Texas, USA",H5,3.6 kg,-84.23757,161.44826,
Elga**,FALSE,1959,"Respublika Sakha(Yakutiya), Russia","Iron, IIE",28.8 kg,-84.23754,161.46154,
Liangcheng,FALSE,1959,"Nei Mongol, China","Iron, IIIAB",200 kg,-84.23754,161.44435,
Lismore**,FALSE,1959,"Victoria, Australia","Iron, IIIAB?",10 kg,-84.23753,161.46805,
Portis,FALSE,1959,"Kansas, USA",L,30 g,-84.2375,161.43452,
Rawlinna 001**,FALSE,1959,"Western Australia, Australia","Pallasite, PMG-an",74 g,-84.23746,161.49297,
Temple**,FALSE,1959,"Texas, USA",L6,5 kg,-84.23741,161.49372,
Northwest Africa 7165,FALSE,1881,(Northwest Africa),Unknown,80 g,-84.21667,160.5,
Northwest Africa 5734,FALSE,2014,(Northwest Africa),Unknown,177.8 g,-85.66667,175,
Northwest Africa 1620,FALSE,1861,(Northwest Africa),Unknown,2.83 g,-85.66084,-68.23017,
Jiddat al Harasis 039,FALSE,1878,Oman,Unknown,,-85.63333,-68.7,
Northwest Africa 825,FALSE,1871,(Northwest Africa),Unknown,2.72 kg,-84.34653,161.34114,
Dhofar 1183,FALSE,1887,Oman,Unknown,,-84.27399,161.68703,
Northwest Africa 2983,FALSE,1818,(Northwest Africa),Unknown,,-84.2739,161.68472,
Bruderheim**,TRUE,1960,"Alberta, Canada",L6,303 kg,-84.23712,161.59466,
Gao-Guenie**,TRUE,1960,"Sissili, Burkina Faso",H5,,-84.23704,161.43765,
Millbillillie**,TRUE,1960,"Western Australia, Australia",Eucrite-mmict,330 kg,-84.237,161.51187,
Soheria,TRUE,1960,"Bihar, India",OC,72.9 g,-84.23689,161.43716,
Woolgorong**,TRUE,1960,"Western Australia, Australia",L6,36 kg,-84.23687,161.48269,
al-Ghanim (iron),FALSE,1960,"Ash Sharqiyah, Saudi Arabia","Iron, IIIAB",500 g,-84.23686,161.43795,
al-Ghanim (stone),FALSE,1960,"Ash Sharqiyah, Saudi Arabia",L6,3.76 kg,-84.23683,161.46512,
Arrabury**,FALSE,1960,"Queensland, Australia",H6,5.3 kg,-84.23679,161.44687,
as-Su'aydan,FALSE,1960,"Ash Sharqiyah, Saudi Arabia",L5,5.86 kg,-84.23674,161.47003,
Barbianello**,FALSE,1960,"Lombardia, Italy","Iron, ungrouped",860 g,-84.23672,161.5276,
Brownfield (iron)**,FALSE,1960,"Texas, USA","Iron, IID",1626 g,-84.23666,161.44729,
Calcalong Creek**,FALSE,1960,"Western Australia, Australia",Lunar (anorth),19 g,-84.23664,161.47099,
Cleo Springs**,FALSE,1960,"Oklahoma, USA",H4,24 kg,-84.23663,161.44815,
De Hoek**,FALSE,1960,"Northern Cape, South Africa","Iron, ungrouped",20.93 kg,-84.23654,161.44034,
Dunedin**,FALSE,1960,New Zealand,LL3,5.1 g,-84.23641,161.45106,
Eagles Nest**,FALSE,1960,Australia,Brachinite,154 g,-84.2363,161.42151,
Ellicott**,FALSE,1960,"Colorado, USA","Iron, IAB-ung",15.7 kg,-84.23624,161.41772,
Fuling,FALSE,1960,"Sichuan, China",Iron,,-84.23618,161.45516,
Itutinga,FALSE,1960,"Minas Gerais, Brazil","Iron, IIIAB",3.2 kg,-84.23615,161.49567,
Midland**,FALSE,1960,"Ontario, Canada",Iron,34 g,-84.23609,161.47294,
Muenatauray**,FALSE,1960,"Bolivar, Venezuela","Iron, IIAB",30 kg,-84.23605,161.4952,
Nova Lima,FALSE,1960,"Minas Gerais, Brazil",Pseudometeorite,15 g,-84.23589,161.5352,
Odessa (stone)**,FALSE,1960,"Odessa, Ukraine",H4,1926 g,-84.23589,161.49176,
Richa,FALSE,1960,"Bauchi, Nigeria","Iron, IID",1500 g,-84.23586,161.41952,
Riverton**,FALSE,1960,"Manitoba, Canada",H5,103.3 g,-84.23579,161.47413,
SÜo JoÜo Nepomuceno**,FALSE,1960,"Minas Gerais, Brazil","Iron, IVA-an",15.3 kg,-84.23564,161.42242,
Selden**,FALSE,1960,"Kansas, USA",LL5,1560 g,-84.23556,161.44866,
Stoneham,FALSE,1960,"Colorado, USA",H5,5 kg,-84.23553,161.44093,
Um Habib**,FALSE,1960,"Ash Sharqiyah, Saudi Arabia",L6,696 g,-84.23548,161.61552,
Venus,FALSE,1960,"Texas, USA",H4,1013 g,-84.23546,161.53559,
Watonga**,FALSE,1960,"Oklahoma, USA",LL3.1,5.03 kg,-84.23546,161.44099,
Camp Wood**,FALSE,1960,"Texas, USA","Iron, IIIAB",148 kg,-84.23543,161.46274,
Karavannoe**,FALSE,1960,"Kirovskaya oblast', Russia","Pallasite, PES",132 kg,-84.23543,161.43983,
Ésterplana 006,FALSE,1960,"Skaraborgs, Sweden",Relict OC,,-84.23541,161.48537,
Northwest Africa 3150,FALSE,1876,(Northwest Africa),Unknown,,-84.23511,161.46197,
Northwest Africa 443,FALSE,1908,(Northwest Africa),Unknown,147 g,-85.69895,-68.96915,
Northwest Africa 559,FALSE,1851,(Northwest Africa),Unknown,27.5 g,-85.66667,175,
Northwest Africa 612,FALSE,2010,(Northwest Africa),Unknown,26.8 g,-84.59487,162.82712,
Northwest Africa 1285,FALSE,2003,(Northwest Africa),Unknown,338 g,-84.5721,162.24799,
Pulter**,FALSE,1898,Spain,Doubtful meteorite,,-84.27997,161.38005,
Northwest Africa 3168,FALSE,2014,(Northwest Africa),Unknown,,-84.27382,161.68978,
Northwest Africa 1871,FALSE,1818,(Northwest Africa),Unknown,50.3 g,-84.25419,161.40837,
Northwest Africa 5479,FALSE,1849,(Northwest Africa),Unknown,40.3 g,-84.24904,161.37914,
Bells**,TRUE,1961,"Texas, USA",C2-ung,375 g,-84.23498,161.55462,
Djermaia**,TRUE,1961,"Chari-Baguirmi, Chad",H,3.95 kg,-84.23496,161.46342,
Ehole**,TRUE,1961,"Cunene, Angola",H5,2.4 kg,-84.23494,161.5688,
Harleton**,TRUE,1961,"Texas, USA",L6,8.36 kg,-84.23486,161.45207,
Kayakent**,TRUE,1961,"Eskisehir, Turkey","Iron, IIIAB",85 kg,-84.23484,161.46594,
Kulak**,TRUE,1961,"Baluchistan, Pakistan",L5,454 g,-84.2348,161.45085,
Ras Tanura**,TRUE,1961,"Ash Sharqiyah, Saudi Arabia",H6,6.1 g,-84.23478,161.44981,
ad-Dahbubah,FALSE,1961,"Ash Sharqiyah, Saudi Arabia",H5,90 kg,-84.23477,161.43281,
Akron (1961)**,FALSE,1961,"Colorado, USA",L6,4 kg,-84.23456,161.4599,
Anoka**,FALSE,1961,"Minnesota, USA","Iron, IAB-sLM",1108 g,-84.2344,161.46298,
Apizaco**,FALSE,1961,"Tlaxcala, Mexico","Iron, IIIAB",38 kg,-84.23433,161.54226,
ash-Shalfah,FALSE,1961,"Ash Sharqiyah, Saudi Arabia",L4,935 g,-84.23427,161.60503,
Batesland**,FALSE,1961,"South Dakota, USA",H5,2.5 kg,-84.23412,161.47919,
Caldwell**,FALSE,1961,"Kansas, USA",L-imp melt,12.9 kg,-84.23406,161.43604,
Canyonlands**,FALSE,1961,"Utah, USA",H6,1520 g,-84.23405,161.54386,
Clovis (no. 1)**,FALSE,1961,"New Mexico, USA",H3.6,283 kg,-84.23403,161.47591,
Duncanville**,FALSE,1961,"Texas, USA",H,17.8 kg,-84.2339,161.49871,
Eunice,FALSE,1961,"Texas, USA",H5,2.3 kg,-84.23379,161.58093,
Kargapole**,FALSE,1961,"Kurganskaya oblast', Russia",H4,21.8 kg,-84.2337,161.56943,
Kennard**,FALSE,1961,"Nebraska, USA",H5,8.2 kg,-84.23368,161.46315,
Lake Bonney,FALSE,1961,"South Australia, Australia",L6,2.75 kg,-84.23364,161.4898,
Lazarev**,FALSE,1961,Antarctica,"Iron, ungrouped",10 kg,-84.2335,161.44783,
Leoville**,FALSE,1961,"Kansas, USA",CV3,8.1 kg,-84.23337,161.48176,
North Haig,FALSE,1961,"Western Australia, Australia",Ureilite-pmict,964 g,-84.2332,161.44568,
Oshkosh**,FALSE,1961,"Wisconsin, USA",H,144.8 g,-84.23305,161.54639,
Rhineland**,FALSE,1961,"Texas, USA",H5,6.24 kg,-84.23302,161.5467,
Seminole**,FALSE,1961,"Texas, USA",H4,43.9 kg,-84.23295,161.47552,
Sweetwater**,FALSE,1961,"Texas, USA",H5,1760 g,-84.23249,161.43758,
Sierra Gorda 000,FALSE,1944,Chile,Reserved,,-85.68565,-68.9372,
Lochaber 000,FALSE,1929,Australia,Reserved,,-85.67671,-69.0633,
Northwest Africa 5468,FALSE,1993,(Northwest Africa),Unknown,802 g,-85.65107,-68.60045,
Northwest Africa 2870,FALSE,1967,(Northwest Africa),Unknown,,-85.63333,-68.7,
