Name,Fall,Year,Place,Type,Mass,Lat, Long,
Woodbridge,TRUE,1642,"England, UK",Doubtful meteorite,1800 g,-86.71667,-141.5,
P_lau,TRUE,1647,"Sachsen, Germany",Doubtful meteorite,,-86.71667,-141.5,
Stolzenau,TRUE,1647,"Niedersachsen, Germany",Stone-uncl,,-86.71667,-141.5,
Dordrecht iron,TRUE,1650,"Zuid-Holland, Netherlands",Doubtful meteorite,,-86.71667,-141.5,
FÙnen,TRUE,1654,"Region Syddanmark, Denmark",Stone-uncl,,-86.71667,-141.5,
Novy-Ergi,TRUE,1662,"Novgorodskaya oblast', Russia",Stone-uncl,,-86.71667,-141.5,
Ortenau,TRUE,1671,"Baden-Wurttemberg, Germany",Stone-uncl,4.5 kg,-86.71667,-141.5,
Glarus,TRUE,1674,"Glarus, Switzerland",Doubtful meteorite,,-86.71667,-141.5,
Copinsay,TRUE,1676,"Scotland, UK",Doubtful stone,,-86.71667,-141.5,
Ermendorf,TRUE,1677,"Sachsen, Germany",Doubtful stone,,-86.71667,-141.5,
Pentolina,TRUE,1697,"Toscana, Italy",Doubtful stone,,-86.71667,-141.5,
Walkringen,TRUE,1698,"Bern, Switzerland",Doubtful stone,,-86.71667,-141.5,
Barcelona stone,TRUE,1704,"Cataluna, Spain",OC,,-86.71667,-141.5,
Dorpat,TRUE,1704,Estonia,Doubtful meteorite,,-86.71667,-141.5,
Sasagase,TRUE,1704,"Chubu, Japan",H,695 g,-86.71667,-141.5,
Larissa,TRUE,1706,"Thessalia, Greece",Doubtful meteorite,7.7 kg,-86.71667,-141.5,
Buzau,FALSE,1714,Romania,Doubtful stone,,-86.71667,-141.5,
Schellin,TRUE,1715,"Szczecin, Poland",L,7 kg,-86.71667,-141.5,
Siratik,FALSE,1716,"Kayes, Mali","Iron, IIAB",1700 g,-86.71667,-141.5,
Kloster Schefftlar,TRUE,1722,"Bayern, Germany",Doubtful meteorite,,-86.71667,-141.5,
Ploschkovitz,TRUE,1723,"˜steck_, Czech Republic",L5,39 g,-86.71667,-141.5,
Steinbach,FALSE,1724,"Sachsen, Germany","Iron, IVA-an",98 kg,-86.71667,-141.5,
Mixbury,TRUE,1725,"England, UK",Doubtful meteorite,9 kg,-86.71667,-141.5,
Halstead,TRUE,1731,UK,Pseudometeorite,,-86.71667,-141.5,
Carpentras,TRUE,1738,"Provence-Alpes-Cote d'Azur, France",Doubtful meteorite,,-86.71667,-141.5,
Rasgrad,TRUE,1740,"Razgrad, Bulgaria",Stone-uncl,24.7 kg,-86.71667,-141.5,
Ogi,TRUE,1741,"Kyushu, Japan",H6,14.36 kg,-86.71667,-141.5,
Krasnojarsk,FALSE,1749,"Krasnoyarskiy kray, Russia","Pallasite, PMG-an",700 kg,-86.71667,-141.5,
Nicorps,TRUE,1750,"Basse-Normandie, France",Stone-uncl,,-86.71667,-141.5,
Hraschina,TRUE,1751,Croatia,"Iron, IID",49 kg,-86.71667,-141.5,
Luponnas,TRUE,1753,"Rhone-Alpes, France",H3-5,14 kg,-86.71667,-141.5,
Tabor,TRUE,1753,"Jihocesky, Czech Republic",H5,7.54 kg,-86.71667,-141.5,
Terranova di Sibari,TRUE,1755,"Calabria, Italy",Doubtful meteorite,3.5 kg,-86.71667,-141.5,
Brianza,TRUE,1760,"Lombardia, Italy",Pseudometeorite,14 g,-86.71667,-141.5,
Albareto,TRUE,1766,"Emilia-Romagna, Italy",L/LL4,2 kg,-86.71667,-141.5,
Novellara,FALSE,1766,"Emilia-Romagna, Italy",Doubtful meteorite,,-86.71667,-141.5,
Luc_,TRUE,1768,"Pays de la Loire, France",L6,3.5 kg,-86.71667,-141.5,
Mauerkirchen,TRUE,1768,"Oberosterreich, Austria",L6,19 kg,-86.71667,-141.5,
Aire-sur-la-Lys,TRUE,1769,"Nord-Pas-de-Calais, France",Unknown,,-86.71667,-141.5,
Kaaba,FALSE,1772,"Makkah, Saudi Arabia",Doubtful stone,,-86.71667,-141.5,
Sena,TRUE,1773,"Aragon, Spain",H4,4 kg,-86.71667,-141.5,
Tirgoviste,FALSE,1774,Romania,Doubtful stone,,-86.71667,-141.5,
Owrucz,TRUE,1775,"Zhitomir, Ukraine",OC,,-86.71667,-141.5,
Rodach,TRUE,1775,"Bayern, Germany",Stone-uncl,2.9 kg,-86.71667,-141.5,
Fabriano,TRUE,1776,"Marche, Italy",Doubtful stone,,-86.71667,-141.5,
Toluca,FALSE,1776,"Mexico, Mexico","Iron, IAB-sLL",3 t,-86.71667,-141.5,
Pettiswood,TRUE,1779,"Leinster, Ireland",Stone-uncl,,-86.71667,-141.5,
Beeston,TRUE,1780,"England, UK",Doubtful meteorite,,-86.71667,-141.5,
Turin,TRUE,1782,"Piemonte, Italy",Doubtful meteorite,8 kg,-86.71667,-141.5,
BendegÑ,FALSE,1784,"Bahia, Brazil","Iron, IC",5.36 t,-86.71667,-141.5,
